"DM","DO","DS","PB","PE","PF","PM","PP","RM"
0.830188679245283,0.0188679245283019,0,0,0,0.0566037735849057,0,0.0943396226415094,0
0.821428571428571,0,0,0,0,0.0714285714285714,0,0.107142857142857,0
0.888888888888889,0,0,0,0,0.111111111111111,0,0,0
0.73972602739726,0,0,0,0,0.0958904109589041,0,0.150684931506849,0
0.590909090909091,0,0,0,0,0.340909090909091,0,0.0681818181818182,0
0.672727272727273,0.0272727272727273,0,0.0181818181818182,0,0.2,0.0272727272727273,0.0454545454545455,0.00909090909090909
0.821917808219178,0.0273972602739726,0,0.0136986301369863,0,0,0,0.123287671232877,0
0.76271186440678,0,0,0.0508474576271186,0,0,0.0169491525423729,0.169491525423729,0
0.295454545454545,0,0,0.465909090909091,0,0,0,0.238636363636364,0
0.371794871794872,0.0897435897435897,0,0.243589743589744,0,0.141025641025641,0,0.153846153846154,0
0.160377358490566,0.235849056603774,0,0.292452830188679,0.00943396226415094,0.0754716981132075,0,0.226415094339623,0
0.00763358778625954,0.435114503816794,0.00763358778625954,0.251908396946565,0,0.0381679389312977,0,0.259541984732824,0
0.0540540540540541,0.378378378378378,0,0.027027027027027,0,0,0,0.540540540540541,0
0,0.462264150943396,0,0.0283018867924528,0,0.0377358490566038,0,0.471698113207547,0
0.0403225806451613,0.185483870967742,0,0.129032258064516,0,0.0564516129032258,0,0.580645161290323,0
0.00625,0.2875,0,0.23125,0,0.01875,0,0.425,0.025
0.0273972602739726,0.472602739726027,0.0205479452054795,0.0684931506849315,0,0.0273972602739726,0.00684931506849315,0.335616438356164,0.0410958904109589
0.0208333333333333,0.541666666666667,0.0416666666666667,0.0520833333333333,0,0,0,0.3125,0
0.761363636363636,0.0568181818181818,0.0909090909090909,0,0,0,0,0.0227272727272727,0.0681818181818182
0.848837209302326,0.13953488372093,0,0,0,0,0,0,0.0116279069767442
0.905882352941176,0.0352941176470588,0,0,0.0117647058823529,0,0,0.0235294117647059,0.0235294117647059
0.630434782608696,0.304347826086957,0,0,0,0.0217391304347826,0,0,0
0.636363636363636,0.333333333333333,0,0,0,0.0303030303030303,0,0,0
0.583333333333333,0.361111111111111,0,0,0,0,0,0.0555555555555556,0
0.295774647887324,0.211267605633803,0,0,0,0.0140845070422535,0,0.47887323943662,0
0.133333333333333,0.522222222222222,0,0,0.0222222222222222,0.0888888888888889,0,0.233333333333333,0
0.236363636363636,0.454545454545455,0,0.00909090909090909,0,0.0545454545454545,0.0454545454545455,0.181818181818182,0.0181818181818182
0.292682926829268,0.378048780487805,0,0.109756097560976,0,0,0,0.219512195121951,0
0.178571428571429,0.410714285714286,0,0.178571428571429,0,0,0,0.232142857142857,0
0.0365853658536585,0.353658536585366,0,0.329268292682927,0,0,0,0.280487804878049,0
0.0326086956521739,0.228260869565217,0,0.304347826086957,0,0,0.0108695652173913,0.41304347826087,0
0.0725806451612903,0.395161290322581,0,0.233870967741935,0,0,0,0.298387096774194,0
0.142857142857143,0.1875,0,0.357142857142857,0,0.0892857142857143,0,0.223214285714286,0
0.0983606557377049,0.245901639344262,0,0.327868852459016,0,0,0,0.327868852459016,0
0,0.390243902439024,0,0.0731707317073171,0,0.00813008130081301,0,0.528455284552846,0
