Group,site,species,intercept,slope,Persistence,Mean,Median
Birds,konza_songbirds,SongSparrow,0.002111113,-1.53170762,0.428571429,1.428571429,0
Birds,konza_songbirds,SummerTanager,0.003353815,-0.765187153,0.785714286,2.714285714,2.5
Birds,konza_songbirds,TreeSwallow,0.014414705,-1.309335969,0.5,20.75,2.5
Birds,konza_songbirds,TuftedTitmouse,0.010093413,-0.847734007,1,13.57142857,12
Birds,konza_songbirds,VesperSparrow,0.001262863,-1.119547997,0.178571429,0.571428571,0
Birds,konza_songbirds,WarblingVireo,0.000788623,-0.568354039,0.25,0.964285714,0
Birds,konza_songbirds,WhitebreastedNuthatch,0.011409814,-0.451910957,1,16.67857143,13.5
Birds,konza_songbirds,YellowbilledCuckoo,0.01863739,-0.692073446,0.964285714,23.71428571,22
Birds,konza_songbirds,YellowrumpedWarbler,0.160457634,0.157726861,0.214285714,1.25,0
Birds,konza_songbirds,YellowWarbler,0.000819539,-1.425555729,0.321428571,0.535714286,0
Birds,konza_waterfowl,BeltedKingfisher,0.046751339,-0.960824533,0.5,1.607142857,0.5
Birds,konza_waterfowl,GreatBlueHeron,NA,NA,0.178571429,0.428571429,0
Birds,konza_waterfowl,GreenHeron,NA,NA,0.178571429,0.5,0
Birds,konza_waterfowl,Killdeer,0.088335064,-0.94232104,0.321428571,1.357142857,0
Birds,konza_waterfowl,Mallard,NA,NA,0.035714286,0.642857143,0
Birds,konza_waterfowl,UplandSandpiper,0.824593892,-0.595581174,0.964285714,24.03571429,20
Birds,konza_waterfowl,WoodDuck,NA,NA,0.214285714,0.464285714,0
Birds,mountainbird_maine,BicknellsThrush,0.075543506,-1.647710132,1,20.45454545,22
Birds,mountainbird_maine,BlackpollWarbler,0.286196824,-0.444864597,1,59.54545455,57
Birds,mountainbird_maine,BlackthroatedBlueWarbler,0.002983485,-0.438944375,0.363636364,0.727272727,0
Birds,mountainbird_maine,BlackthroatedGreenWarbler,0.005882521,-1.37364608,0.363636364,0.818181818,0
Birds,mountainbird_maine,BlueheadedVireo,0.006960051,-2.504755842,0.363636364,1.181818182,0
Birds,mountainbird_maine,BorealChickadee,0.008857373,-1.473068837,0.454545455,1.545454546,0
Birds,mountainbird_maine,BrownCreeper,NA,NA,0.272727273,0.272727273,0
Birds,mountainbird_maine,CommonRaven,0.004300003,-1.41517095,0.363636364,0.636363636,0
Birds,mountainbird_maine,DarkeyedJunco,0.030722441,-0.904113521,0.363636364,3.727272727,0
Birds,mountainbird_maine,EurasianWren,0.212991879,-0.258522848,1,47.45454545,42
Birds,mountainbird_maine,FoxSparrow,0.002157019,0.921668335,0.363636364,0.818181818,0
Birds,mountainbird_maine,GoldencrownedKinglet,0.014994291,-1.061342274,0.545454546,3.090909091,4
Birds,mountainbird_maine,GrayJay,0.00562363,-1.859964183,0.363636364,0.636363636,0
Birds,mountainbird_maine,HermitThrush,0.004524887,-1.085506001,0.272727273,1.090909091,0
Birds,mountainbird_maine,LeastFlycatcher,NA,NA,0.272727273,0.818181818,0
Birds,mountainbird_maine,MagnoliaWarbler,0.025519187,-1.834865969,0.545454546,5,3
Birds,mountainbird_maine,MyrtleWarbler,0.056049144,-0.672850644,0.545454546,10.63636364,14
Birds,mountainbird_maine,NashvilleWarbler,0.015710778,-1.824320504,0.545454546,3.636363636,1
Birds,mountainbird_maine,Ovenbird,0.0091788,-1.160374178,0.454545455,1.636363636,0
Birds,mountainbird_maine,PurpleFinch,0.011930787,1.373713339,0.363636364,1.272727273,0
