"Group","Site","Observed.S","Persistent.S","T","X..increase.in.Pattern","Pattern","Null.Pattern","p.val","q.val","sigcat","Srat","Pdiff"
"Mammals","curlew",5,4,14,1.150824223,0.844352293,0.733693536,0.736,0.676523033626176,"Nonsignificant",0.8,0.110658757
"Mammals","goldengate",9,5,11,-0.631726489,-0.346972853,0.549245376,0.067,0.161623603041347,"Nonsignificant",0.555555555555556,-0.896218229
"Mammals","hilaire_rod",3,3,11,6.918303368,8.546076758,1.235285055,0.9248,0.724358627212868,"Nonsignificant",1,7.310791703
"Mammals","INEEL",3,3,12,0.632007729,1.565531941,2.477077207,0.4106,0.538480746868131,"Nonsignificant",1,-0.911545266
"Mammals","Jornadagrass",6,2,13,0.079349217,0.067728343,0.85354772,0.0512,0.12977429700036,"Nonsignificant",0.333333333333333,-0.785819377
"Mammals","Jornadashrub",11,4,13,-0.360757561,-0.083251331,0.230768084,0.2684,0.432682937077138,"Nonsignificant",0.363636363636364,-0.314019415
"Mammals","karoo_ungulates",14,10,16,-1.197822374,-0.670212017,0.559525378,0.0116,0.0460896939278648," Significant",0.714285714285714,-1.229737395
"Mammals","Konza",7,4,17,-3.250306644,-0.730521308,0.224754581,0.0034,0.0272452894283033," Significant",0.571428571428571,-0.955275889
"Mammals","KrugerNP",11,8,17,16.60191231,2.910578386,0.175315851,1,0.739691115700543,"Nonsignificant",0.727272727272727,2.735262535
"Mammals","Ontario_rod",6,6,44,-0.579693145,-0.177401937,0.306027316,0.0268,0.077571085698683," Significant",1,-0.483429253
"Mammals","Portal",9,9,22,6.669527116,2.239658589,0.335804705,0.9898,0.73771219370782,"Nonsignificant",1,1.903853884
"Mammals","pdm_rodabund",3,3,21,1.675662877,0.465212719,0.277629066,0.7358,0.676463555404169,"Nonsignificant",1,0.187583653
"Mammals","pdm_sqabund",2,2,21,-0.325191752,-0.329885527,1.014433869,0.0182,0.0595275231206628," Significant",1,-1.344319396
"Mammals","5pgrass",11,4,17,-1.095575856,-0.564867188,0.515589299,0.035,0.0941627426306667," Significant",0.363636363636364,-1.080456487
"Mammals","5plarrea",12,5,17,-1.059306865,-0.303787683,0.286779679,0.0852,0.194914089233246,"Nonsignificant",0.416666666666667,-0.590567362
"Mammals","rslarrea",15,10,17,-0.45064747,-0.108376226,0.240490034,0.1352,0.277552154821028,"Nonsignificant",0.666666666666667,-0.34886626
"Mammals","shortgrass",5,4,7,-52.01179393,-1.597443891,0.030713109,0.0252,0.0745353822806385," Significant",0.8,-1.628157
"Plants","desertlab",55,29,29,15.30599258,5.756442043,0.376090738,0.9876,0.73728141623149,"Nonsignificant",0.527272727272727,5.380351305
"Plants","desertlabshrub",54,30,21,0.129661066,0.07026651,0.541924512,0.503,0.588362134212811,"Nonsignificant",0.555555555555556,-0.471658002
"Plants","Jornada_CS",111,26,20,0.46477058,0.541942091,1.166042161,0.754,0.681787978889016,"Nonsignificant",0.234234234234234,-0.62410007
"Plants","Jornada_CW",83,19,19,0.496920195,1.212155327,2.439336011,0.7448,0.67911859911139,"Nonsignificant",0.228915662650602,-1.227180684
"Plants","Jornada_GS",167,67,20,-0.044423103,-0.047925169,1.078834351,0.2086,0.372157312158261,"Nonsignificant",0.401197604790419,-1.12675952
"Plants","Jornada_GW",119,47,19,0.798224306,0.938158155,1.175306425,0.8138,0.698111924409281,"Nonsignificant",0.394957983193277,-0.23714827
"Plants","Jornada_MS",79,18,20,2.023217033,3.498850212,1.729349919,0.9304,0.725562380501113,"Nonsignificant",0.227848101265823,1.769500293
"Plants","Jornada_MW",61,12,18,-0.419033128,-1.26822243,3.026544548,0.0072,0.0390793216401392," Significant",0.19672131147541,-4.294766978
"Plants","Jornada_PS",84,18,20,0.310785399,0.409398361,1.31730243,0.682,0.659628274289684,"Nonsignificant",0.214285714285714,-0.907904069
"Plants","Jornada_PW",53,6,19,0.959518453,4.025516354,4.195350639,0.8768,0.71359064698245,"Nonsignificant",0.113207547169811,-0.169834285
"Plants","Jornada_TS",99,29,20,-1.04318095,-1.313109437,1.258755192,4e-04,0.00887629338840652," Significant",0.292929292929293,-2.571864629
"Plants","Jornada_TW",81,22,19,0.265678863,0.547621961,2.061217648,0.4506,0.561484373008948,"Nonsignificant",0.271604938271605,-1.513595687
"Plants","kansasannuals",34,5,39,0.500958251,2.106724111,4.205388588,0.7322,0.675389194754563,"Nonsignificant",0.147058823529412,-2.098664477
"Plants","kansasperennials",102,52,41,38.69472086,36.95325946,0.954994858,0.997,0.739112186507037,"Nonsignificant",0.509803921568627,35.998264602
"Plants","portalsummer",68,40,32,-0.719489914,-0.563907338,0.783759893,0.0096,0.0434335132791931," Significant",0.588235294117647,-1.347667231
"Plants","portalwinter",71,38,32,0.024081228,0.014857048,0.616955584,0.4152,0.541248241635707,"Nonsignificant",0.535211267605634,-0.602098536
"Plants","steppe_counts",73,10,27,0.45049679,0.436405112,0.968719692,0.8078,0.69655005151052,"Nonsignificant",0.136986301369863,-0.53231458
