Year	Site	total	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	22	23	26	27	28	29	31	32	33	34	35	36	37
1976	Buoy.117	104.046	0	0	0.14	0	0	1.15	0	34.16	0	12.705	0.15	38.955	0	1.835	0	0	0.115	2.371	12.465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977	Buoy.117	162.4125	0	0	8.738	0.0125	1.4955	38.406	0.02	16.626	0	13.1825	11.055	59.8945	0	1.299	0	0	0.096	0.6905	10.897	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	Buoy.117	86.82	0	0	2.28	0	0.045	13.225	0.75	6.725	15.37	15.2	8.015	15.155	0	0.695	0	0	0.125	0.53	8.705	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1979	Buoy.117	179.544	0	0	0.278	0	0.008	43.1635	1.9725	31.5195	2.7135	10.3095	3.2315	65.017	3.72	4.243	0	0	0.166	3.873	9.329	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980	Buoy.117	213.1063333	0	0	1.19	0	0	0.383	9.309	56.72216667	3.272	15.45466667	0.528	103.4183333	1.821	0.7195	0	2.291	0.034	2.439666667	15.524	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1981	Buoy.117	294.396	0	0	43.417	0	3.997	39.83916667	5.709	4.885333333	2.342833333	21.63416667	6.333833333	149.019	0	3.359	0	0	0.012	1.783333333	12.06433333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1982	Buoy.117	341.56	0	0	15.209	0	0.838	83.5905	80.581	0	8.6595	39.989	0	40.273	21.8545	2.0815	0	19.4915	0.1015	10.92	9.166	8.805	0	0	0	0	0	0	0	0	0	0	0	0	0
1983	Buoy.117	369.2175	0.212	0	8.162	0	1.275	67.7155	57.0925	25.6245	3.4075	89.3645	0	60.0635	1.7585	1.1965	0	34.5235	0.022	5.2645	9.629	3.9065	0	0	0	0	0	0	0	0	0	0	0	0	0
1984	Buoy.117	385.527	0	0	31.9965	0	0.6025	84.868	35.082	38.42566667	0.772	50.41133333	3.2445	99.40016667	0.108666667	1.8305	0	3.894333333	0.1045	8.927	25.85933333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1985	Buoy.117	414.779	0	0	16.885	0	1.3495	60.77	53.7545	3.7535	6.2065	45.7495	1.9065	94.574	28.878	9.2685	0	24.166	0.149	26.645	39.16	0.5635	0	0	0	0	0	0	0	0	1	0	0	0	0
1986	Buoy.117	254.3016667	0	0	7.603	0	0	55.78066667	44.33383333	28.7535	0.07	32.16683333	1.2565	58.44583333	0.645	4.463	0	6.0495	8.47E-02	5.764333333	8.885	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1987	Buoy.117	245.178	0	0	34.5025	0	1.21	24.851	0.325	44.4105	0	43.1855	0.055	41.503	12.666	1.6305	0	9.9475	0	6.589	24.3025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1988	Buoy.117	395.1115	0	0.2625	59.5845	0	1.0825	36.881	26.979	25.015	11.7525	88.684	11.7195	31.1105	1.4695	0.0725	0	56.711	0.0125	16.6045	27.04	0.1305	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	Buoy.117	222.3405	0	0.0875	19.143	0	0.479	2.494	4.545	39.474	2.77	40.501	1.036	35.853	22.954	1.6705	0.044	9.8355	0	12.458	28.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	Buoy.117	325.6106667	0	0	71.897	0	1.062	23.377	45.55983333	2.202	0.417666667	47.08133333	1.764166667	48.63783333	15.47533333	4.6055	0.265833333	18.91966667	0	15.28433333	29.06116667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	Buoy.117	364.618	0	0.1175	36.0345	0	0.61	60.0165	46.4415	0.6665	2.284	56.395	1.371	34.811	19.2185	2.676	0.095	40.5635	0.0945	16.947	46.276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	Buoy.117	184.6368333	0	0	14.75666667	0	0.6045	4.317666667	41.23466667	26.85366667	0	43.52233333	0.504	7.937	10.17083333	2.861166667	0.213166667	3.902833333	0.038	12.28916667	15.43116667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	Buoy.117	101.7456667	0	0	6.534166667	0	0	0	0.22	14.5095	0.0925	14.09366667	0.9375	45.257	1.373333333	12.52616667	0	0	0.0475	0.406166667	5.748166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	Buoy.117	114.2755	7.898	0	1.015	0.666	0	0	8.661	18.7	0	3.845	0.207	57.8225	2.478	2.756	0	0.045	0	3.484	6.698	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	Buoy.117	149.82	6.6335	0	1.8175	0	0.6375	17.435	1.2275	60.317	0.0475	6.6595	3.501	4.8825	25.641	0.2815	0	0.1525	0	4.444	15.885	0.1375	0	0	0	0	0	0	0	0	0	0	0.12	0	0
1996	Buoy.117	206.9095	0	0	1.608	0	0.05	49.51966667	10.50866667	44.87466667	0	37.24216667	0	23.219	12.01533333	2.078166667	0	0	0	7.617833333	17.916	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0
1997	Buoy.117	229.732	0.068	0.054	7.094666667	0	0.1345	43.074	7.9955	33.79183333	0	21.4425	1.4835	62.89	15.91066667	1.906	0	0.203	0	14.298	17.59083333	0	0	0	0	0	0.96	0.835	0	0	0	0	0	0	0
1998	Buoy.117	231.9805	0.1	0	4.8225	0	0.376666667	54.88466667	35.6105	0	0.453333333	20.11883333	9.2	25.15166667	13.8015	2.863666667	0	15.79816667	0.054	11.25283333	37.31216667	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0
1999	Buoy.117	298.2413333	0.3475	0	4.798333333	0	0.303333333	113.0898333	39.08416667	8.1335	0.755	21.78216667	2.625	18.71383333	36.77	0.702	0	0.07	0	10.109	24.713	0	1.33	0	14.70716667	0	0	0	0	0	0	0	0	0.2075	0
2000	Buoy.117	277.7363333	0.1455	0.024	54.07883333	0	0	80.534	30.61416667	18.2575	0.345	32.41966667	0.11	19.82283333	15.04233333	4.076833333	0	0.115	0	4.792166667	5.2035	0	0	0	12.155	0	0	0	0	0	0	0	0	0	0
2001	Buoy.117	411.5463333	0.114	0	31.19366667	0	1.315	145.296	46.85316667	39.2775	0	16.86866667	1.920833333	35.74833333	17.20933333	7.739666667	0	0.613333333	5.33E-02	26.30516667	10.42366667	0	19.28216667	0	11.3325	0	0	0	0	0	0	0	0	0	0
2002	Buoy.117	296.525	4.9705	0.16	13.82833333	0	0.435333333	29.41066667	65.22333333	1.152	0	23.849	10.916	14.90016667	26.167	1.6145	0	8.479333333	0.052	21.34683333	12.80416667	0	36.38916667	0	11.72416667	0	0	10.0325	0	0	0	0	0.31	0	2.76
2003	Buoy.117	471.9155	4.680833333	0	21.00683333	0	0	158.9388333	60.31133333	24.92883333	0.11	23.95966667	8.4675	11.6215	22.4955	2.9875	0	82.6145	0	19.741	17.26816667	0	0	0	0	7.7185	1.425	0	0	0	0	0	0	0	3.64
2004	Buoy.117	391.5101667	0.0825	0	5.4175	0	0.486666667	150.3125	13.09483333	54.45383333	0	43.99883333	2.1825	36.84133333	22.72683333	7.7275	0	4.976666667	0.101666667	10.93233333	15.243	0	8.594166667	0	10.85916667	0	0	2.528333333	0	0	0.41	0	0	0	0.54
2005	Buoy.117	341.354	4.3225	0	9.249	0	0.05	7.6965	32.24	42.6525	0.084	15.6925	8.2875	52.2405	41.6745	7.44	0	12.196	0	27.208	34.09	0	21.125	0	8.072166667	0	0	16.86333333	0	0	0	0	0	0	0.17
2006	Buoy.117	308.7211667	0.2825	0	13.98416667	0	0.21	39.27583333	46.38983333	0.272	0	58.29383333	7.055833333	54.77233333	6.865166667	2.5305	0	4.3475	0.06	23.34216667	23.20816667	0	20.83466667	0	0.5625	0	0	6.379166667	0	0	0	0	0.055	0	0
1975	Buoy.125	271.139	0	0	41.7205	0	1.489	45.5995	0	54.678	1.8515	15.1275	10.486	81.5605	0	0.3035	0	0	0.3395	3.896	14.0875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1976	Buoy.125	141.8725	0	0	0.474	0	0	9.771833333	0.193333333	47.818	1.33E-02	13.82933333	0.266666667	47.177	0	1.063333333	0	0	1.33E-02	2.029666667	19.22266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977	Buoy.125	244.9848333	0	0	23.00916667	0	1.1345	64.56733333	0.136666667	23.69016667	1.303333333	19.45	13.482	81.8635	0	2.887166667	0	0	0.074	1.442	11.945	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	Buoy.125	120.48	0	0	2.645	0	0	29.31	0.025	18.255	15.79	19.775	5.785	19.08	0	0.95	0	0	0.005	1.01	7.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1979	Buoy.125	199.4881667	0	0	0.203333333	0	0	42.837	1.6575	41.1095	1.656	15.94183333	2.3625	72.81883333	0	4.817	0	0	0.1735	3.372	12.53916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980	Buoy.125	240.6591667	0	0	4.202	0	0	5.007666667	10.4245	46.7885	4.361	14.10133333	0.446	126.562	3.276	1.675	0	3.193	0	2.504	18.11816667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1981	Buoy.125	388.6698333	0	0	51.59116667	0	6.471166667	42.61833333	4.580166667	11.347	2.0555	30.48516667	5.542	199.6953333	0	5.330666667	0	0	0.178666667	1.608833333	27.16583333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1982	Buoy.125	312.964	1.66	0	16.01	0	1.602	64.776	46.1145	0.052	3.7125	47.548	0	61.9225	16.098	2.139	0	17.6055	0.0315	12.0775	12.0925	9.5225	0	0	0	0	0	0	0	0	0	0	0	0	0
1983	Buoy.125	368.7731667	0	0	7.819	0	1.0225	56.41566667	38.44116667	25.9015	2.0555	110.9215	0	61.71183333	3.261	1.1505	0	21.9235	0.1265	6.443166667	29.09083333	2.489	0	0	0	0	0	0	0	0	0	0	0	0	0
1984	Buoy.125	392.008	0.012	0	25.2175	0	0.8595	87.008	32.233	31.8905	0.9805	52.2625	2.8415	112.3815	0.718	1.815	0	4.985	0.0875	8.113	30.603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1985	Buoy.125	394.627	0.03	0	17.5775	0	1.341	36.3995	66.649	3.7755	5.5945	40.9235	1.629	96.075	33.233	12.1855	0	17.904	0.09	28.2355	31.7615	0.743	0	0	0	0	0	0	0	0	0	0	0	0	0.48
1986	Buoy.125	251.2785	6.67E-03	0	9.0095	0	0.032	40.6515	48.46166667	24.81116667	0	34.18483333	1.243	50.53166667	7.964166667	2.652666667	0	5.191	0	8.943833333	16.84483333	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0
1987	Buoy.125	249.0255	0	0	42.735	0	1.0125	20.15	0.235	52.789	0	34.968	0.215	41.918	9.4565	1.201	0	9.81	0.0525	5.5685	28.9145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
