Year	site	total	APRA	ASNU	ASTE	ASTR1	BAMU	CHIN	CIOC	COCA	COCO	CRCR	CRMI	CRYP1	DEPI	DIWI	ERAB	ERBE	GAPA	GRSQ	GSDL1	HECI	HIMU	HODR	HOGL	HYOD	LEGO	LESQ1	LEVI	MAFE	NAHI	OENO1	OEPR	PAOB	PHAC1	PHCO	PLMU	PLPA	PSDL1	SCAR	SIIR	SILE	SOOL	SPAI	SPSA	STEX	TAAN	UKFO?	UKFO1	UKFO2	UKFO3	UKFO4	UKFO5	UKFO8	VUOC
1997	COLL3	20.301	0	0	0	0	0	0	0	0	0.021	0	0	0	0.049	0	0	0.036	0	0	0	0.005	0	0	0	20.176	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	COLL3	0.073	0	0	0	0	0	0	0	0	0.008	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL3	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	COLL3	0.618	0	0	0	0	0	0	0	0	0	0	0	0	0.617	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL3	10.218	0.021	0	0	0	0	0	0	0	0	0	0	0	0.308	0	0	0	0	0	0.005	0.114	0	0	0	9.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL3	64.548	0.037	0	0	0	0	0	0	0	0	0	0	0	21.951	0	0	0	0	0	0	0	0	0	0	42.559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL3	52.779	3.32	0	0	0	0	0	0	0.04	0.264	0	0	0	3.009	0	0	0	0	1.06	0	0.217	0	0	0	44.728	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	COLL3	0.188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	COLL4	28.103	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	27.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.391	0.564	0	0	0.006	0
1991	COLL4	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL4	3.995	0.32	0	0	0	0	0	0	0	0.055	0	0	0	0.295	0	0	0	0	0.07	0	0.861	0	0	0	2.368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0
1993	COLL4	2.407	0	0	0	0	0	0	0	0	0	0	0	0	1.48	0	0	0	0	0.448	0	0.37	0	0	0	0.072	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL4	64.5	0.399	0	0	0	0	0.103	0	0	0.882	0	0	0	8.442	0	0.016	0	0.008	0	0	1.009	0	0	0	52.19	0.006	0	0	0.977	0	0	0.031	0	0	0	0	0	0.43	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0
