Year	site	total	APRA	ASNU	ASTE	ASTR1	BAMU	CHIN	CIOC	COCA	COCO	CRCR	CRMI	CRYP1	DEPI	DIWI	ERAB	ERBE	GAPA	GRSQ	GSDL1	HECI	HIMU	HODR	HOGL	HYOD	LEGO	LESQ1	LEVI	MAFE	NAHI	OENO1	OEPR	PAOB	PHAC1	PHCO	PLMU	PLPA	PSDL1	SCAR	SIIR	SILE	SOOL	SPAI	SPSA	STEX	TAAN	UKFO?	UKFO1	UKFO2	UKFO3	UKFO4	UKFO5	UKFO8	VUOC
2002	TOBO3	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0
2003	TOBO3	0.083	0	0	0	0	0	0	0	0	0	0	0	0.002	0.028	0	0	0	0	0	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0
2004	TOBO3	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0
2005	TOBO3	8.747	0	0	0	0	0	0	0	0	0	0	0	0	8.209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213	0	0	0	0	0	0	0	0	0	0	0
2007	TOBO3	71.947	4.69	0	0	0	0	0	0	0	0.216	0	0	0.191	0.285	0	0	0	0	0	0	0	0	0	0	65.375	0	0	0	0.651	0.007	0	0	0	0	0	0.021	0.431	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	TOBO3	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1990	TOBO4	70.487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.312	0	0	0	0	0	0	0	0	0	0	0
1991	TOBO4	122.114	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0	84.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.01	0	0	0.017	0	0	0	0	0	0	0	0
1992	TOBO4	35.894	0	0	0	0	0	0	0	0	0	0	0	0	0.214	0	0	0	0	0	0	0	20.481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	15.192	0	0	0	0	0	0	0	0	0	0	0
1993	TOBO4	99.028	0	0	0	0	0	0	0	0	0	0	0	0	1.735	0	0	0	0	0	0	0	50.905	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.086	0	0	0	0	46.292	0	0	0	0	0	0	0	0	0	0	0
1994	TOBO4	134.298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.57	0	0	0	0	0	0	0	0	0	0	0
1995	TOBO4	24.521	0	0.162	0	0	0	0	0	0	0	0.753	0	0	13.574	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.163	0	0	0	0	0	0	3.984	0	0	0	0	0	0	5.813	0	0	0	0	0	0	0	0	0	0	0
1996	TOBO4	32.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.064	0	0	0	0	0	0	1.974	0	0	0	0	0	0	0	0	0	0	0
1997	TOBO4	1.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.039	0	0	0	0	0	0	0	0	0	0	0
1998	TOBO4	24.849	0	0	0	0	0	0	0	0	0	0	0	0	0.247	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	10.529	0	0	0	0	0	0	14.071	0	0	0	0	0	0	0	0	0	0	0
1999	TOBO4	1.563	0	0	0	0	0	0	0	0	0	0	0	0	0.697	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0	0	0	0.773	0	0	0	0	0	0	0	0	0	0	0
2000	TOBO4	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	0	0	0	0	0	0	0	0	0	0	0
2001	TOBO4	9.412	0	0	0.003	0.003	0	0	0	0	0	0	0.002	0.005	9.232	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	TOBO4	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0
2003	TOBO4	0.053	0	0	0	0	0	0	0	0	0	0	0	0.002	0.015	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0
2005	TOBO4	12.328	0	0.106	0	0	0	0	0	0	0	0	0	0	7.018	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0	0	0	0.649	0	0	0	0	0	0	0	0	0	0	4.473
2007	TOBO4	66.236	9.322	0	0	0	0.001	0	0	0	0.481	0	0	0.016	1.168	0	0	0	0	0	0	0	0	0	0	53.75	0	0	0	0	0.001	0	0	0	0	0	0	1.294	0.003	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	TOBO4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
