Year	site	total	ALIN	ALLI1	AMAR1	AMCH	AMFI	APRA	ARAD	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPA	ARPE	ARPU	ARPU1	ARTE	ARTE1	ARWR	ASCR	ASNU	ASSU	ASTE	ASTE1	ASTE2	ASTR1	BAAB	BABI	BAMU	BAPE	BOAR	BOCU	BOER	BOER1	BOSP	BOTO	BRAS1	CABA	CACH	CAJA	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPO	CRPT	CRYP1	DAPU	DECO	DEPI	DEVI	DICA	DIWI	ERAB	ERAN	ERBE	ERCA	ERDI	ERDV	ERIG1	ERLE	ERPU	ERRO	ERTE	ERTR	ESME	EUAL	EUDE	EUGL	EUMI	EUPH1	EUSE	EUSR	EVNU	GAPI	GIFL	GILI1	GSDL1	HAGR	HEAN	HECI	HELI1	HEPE	HODR	HOGL	HYFL	HYOD	HYVE	IVAM	KALL1	KRAM1	LARE	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	LIVE	LONE	LUCO	MAFE	MAPI	MATA	MEAL	MELE	MENT1	MEPU	MILI	MOCE	MUAR	MUPO	NAHI	NYCT1	OEAL	OENO1	OEPR	PAHA	PENA	PEPA	PHAC1	PHCO	PHIN	PLPA	PSTA	RANE	SACY	SAHA	SAKA	SCAR	SCBR	SELE	SELO	SOEL	SPCC	SPHA1	SPIN	SPOR1	SPSU	SPVEG	STAR	STEP1	STEX	STPA	TAAN	TAAU	TALI1	TECO	TILA	TOAN	UKFO1	UKFO2	UKFO3	UKGR1	UKGS1	VEEN	VEWR	VUOC	XASA	XASP	XATE
1994	BASN3	415.57	0	0	0	0	0	0	0	0	0	17.469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327.269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.992	0	0	0	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN3	653.77	0	0	0	0	0	0	0	0	0	0	0	7.446	0	0	0	0	0	0	0	0	2.226	0	2.72	0	0	0.013	0	0	0.044	0	0	0	376.191	0	0	0	0	0	0	0	0	0	0.342	0	0	0	30.873	0	0.233	0	0	0	0	20.373	0	0	0.074	0.002	0	0	0	13.329	0	0	0	0	0	19.545	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.936	0	0	0	0	0	0	0	1.302	0	0.841	0	0	0	0	0	0	0	92.461	0	0	0	0	0	0	2.885	0	0	0	0	15.527	0	0	0	0	0.076	0	0	0	0	0	0	0	0	3.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068
1996	BASN3	322.983	0	0	0	0	0	0	0	0	0	2.92	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0.001	0	0	0	275.583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.438	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	BASN3	447.442	0	0	0	0	0	0	0	0	0	0	0	5.581	0	0	0	1.339	0	0	0	0	0	0	0	0	0	0.005	0.483	0	0	0	0	0	387.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.212	0	0	0	0	0	0	2.753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	BASN3	461.851	0	0	0	0	0	0	0	0	0	4.13	1.786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.682	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0	1.09	0	0	0.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.066	43.023	0	0	0	0	0	0	4.149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	BASN3	487.277	0	0	0	0	0	0	0	0	0	1.172	0	2.679	0	0	0.112	0	0	0	0	0	0	0	0.507	0	0	0	0.003	0	0.073	0	0	0	410.24	0	0	0	0	0	0	0	0	0	0	0	0	1.412	9.789	0	0.65	0	0	0.653	0	1.47	0	0	0.099	0	0	0	0	0.71	0	0	0	0	0	1.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.312	0	0	0	0	0	0	0	37.857	0	0	0	0	0	0	4.736	0	0	0	0	12.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0
2000	BASN3	787.863	0	0	0	0	0	0	0	0	0	0	0	1.172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN3	838.603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.907	0	0	0	0	0	1.166	0	0.744	0	0	0	0.233	0	0.235	0	0	0	619.199	0	0	0	0	0	0	0	0	0	0	0	0	30.001	1.506	0	0.554	0	0	0.04	0	42.215	0	0	0	0.533	0	0	0	2.513	0	0	0	0	0	0	16.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.681	0	0	0	0	0	0	0	0.488	0	0	0	0	0	0	0	0	0	62.482	0	0	0	0	0	0	7.281	0	0.912	0.133	0.705	37.519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	BASN3	499.916	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	426.368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.435	0	0	0	0	0	0	0.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN3	793.616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.124	0	0	0	0	0	700.187	0	0	0	0	0	0	0	0	0	0.688	0	0	0	6.777	0	0.537	0	0	0.08	0	0	0	0	0	0	0	0	0	0.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.326	0	0	0	0	0	0	0	0	0	71.563	0	0	0	0	0	0	6.793	0	0	0	0	3.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN3	122.638	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104	0	0	0	0	3.007	0	0	0	0	0	78.52	0	0	0	0	0	0	0	0	0	0.127	0	0	0	0.753	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.047	0	0	0.205	0.018	0	0	0.109	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.661	0	0	0	0	0	0	7.439	0	0	0	0	0.431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0.01	0	0	0	0	0
2005	BASN3	566.856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127.821	0	40.288	0	0	0	9.069	0	0	0	0	0	71.313	0	0	0	0	0	0	0	0	0	0.006	4.252	0	0	31.626	0.007	1.137	0	0	0	0	110.489	0	0	0	2.552	0	0	0	9.501	0	0	0	0	0	0.095	3.967	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.557	0	0	0	0	0	0	0	1.464	0	0	0	0	0	0	0	0	0	0	0.057	0	0	0	0	0	7.789	0	0	0	95.265	25.445	0	0	0	0	3.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	BASN3	158.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	BASN3	825.426	0	0.013	0	0.154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.625	0	128.218	0	0	0	3.281	0	0.45	0	0	0	193.845	0	0	0	0	0.007	0	0	0	0	0	0	0	0	9.036	0	2.182	0	0	0	0	10.879	0	0	0	0.212	0	0	0	0.638	0	0	0	0	0	175.084	0.816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	159.518	0	0	0	0	0	0	0	0	0	2.564	0	0	0	0	0	0	0	5.793	1.072	0	0	0	0	0	6.826	0	2.696	0	0.182	117.302	0	0	0	0	0.376	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.424	0
2008	BASN3	366.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	BASN4	572.478	0	0	0	0	0	0	0	0	0	0	111.285	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0.064	0	0	0	0	0	385.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.627	0	0	0	0	0	0	0	0	0	0.076	0	42.182	0	0	0	0	0	0	0	0.018	8.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	BASN4	541.037	0	0	0	0	0	0	0	0	0	0	0.502	0	0	0	0	0	0	0	52.93	0	0	0	16.331	0	0	0	0.462	0	0	0	0	0	433.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117	0	0	0	0	0	0	0	0.379	0	0	0	0	0	0	0	0	0.696	0	3.821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.118	0	0	0	0	0	0	0	0	0	0	0	22.7	0	0	0	0	0	0	0	0.059	7.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0
1991	BASN4	483.594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.905	0	0	0	0.106	0	0	0	0	0	0	0	0	0	432.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245	0	0	0	0	0	0	0	0	0	0	0	16.727	0	0	0	0	0	0	0	0	5.942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	BASN4	493.221	0	0	0	1.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.606	0	0	0	4.241	0	0	0	2.45	0	0	0	0	0	420.155	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.525	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.397	0	0	0	0	0	0	0	0.764	0	0	0	0	0	0	0	0.325	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	3.954	0	0	0	0	0	0	0	0	0	0.095	0	18.318	0	0	0	0	0	0	0	0.118	13.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	BASN4	640.059	0	0	0	0	0	0.099	0	0	0	0	44.368	0	0	0	0	0	0	0	0	0	0	0	4.162	0	0	0	2.075	0	0.016	0	0	0	560.427	0	0	0	0	0	0	0	0	0	0	0	0	0.647	2.259	0	0.178	0	0	0	0	0.224	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	5.837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	2.964	0	0	0	0	0	0	0	0	0	2.085	0	9.909	0	0	0	0	0	0	0.957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21
1994	BASN4	355.762	0	0	0	0	0	0	0	0	0	16.274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	2.238	0	0	0	0	0	0	2.426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN4	497.746	0	0	0	0.005	0	0	0	0	0	0	0.502	0.825	0	0	3.895	0	0	0	0	0	1.154	0	4.692	0	0	0.292	0.424	0	0.041	0	0	0	349.625	0	0	0	0	0	0	0	0	0	0.167	0	0	0	21.084	0	0.17	0	0	0	0	2.551	0	0	0	0.042	0	0	0	2.752	0	0	0	0	0	10.073	1.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.052	0	79.835	0	0	0	0	0	0	0	0.65	0	0.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.368	0	0	2.728	0	1.726	0	0	0	0	0.485	0	4.664	0	0	0	0	0	0	3.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007
1996	BASN4	261.896	0	0	0	0	0	0	0	0	0	1.061	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0.001	0	0	0	256.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.411	0	0	0	0	0	0	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	BASN4	253.031	0	0	0	0.171	0	0	0	0	0	0	0	0	0	0	0	4.353	0	0	0	0	0	0	0.106	0	0	0	1.339	0	0	0	0	0	231.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09	0	0	0.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.266	0	0	0	0	0	0	0	0	0	0	0	13.167	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	BASN4	485.78	0	0	0	0.076	0	0	0	0	0	0	0	6.976	0	0	7.534	0	0	0	0	0	0	0	0	0	0	0	1.749	0	0	0	0	0	451.616	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	1.684	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.839	0	0	0	0	0	0	0	0	0	0	0	13.129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	BASN4	402.049	0	0	0	0.05	0	0	0	0	0	0	0	18.306	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0.233	0	0.052	0	0	0	360.508	0	0	0	0	0	0	0	0	0	0	0	0	0.258	3.012	0	1.788	0	0	0.08	0	0.059	0	0	0	0.058	0	0	0	0.168	0	0	0	0	0	0.063	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12	0	0	0.381	0	0	0.092	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	2.496	0	0.133	0	0	1.294	0	0	0	0	0	0	11.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502	0
2000	BASN4	487.344	0	0	0	0	0	0	0	0	0	6.251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480.851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN4	623.114	0	0	0	0.834	0	0	0	0	0	0	0	0	0	0	3.907	0	0	0	0	0	0.57	0	0.602	0	0	0	1.631	0	0.107	0	0	0	527.125	0	0	0	0	0	0	0	0.467	0	0	0	0	4.772	12.801	0	7.071	0	0	0	0	3.506	0	0	0	0.384	0	0	0	3.88	0	0	0	0	0	0.979	0.653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.969	0	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	0	0	0.085	0	0	0	0	0	9.034	0	0	5.035	0	3.881	0	0	0	0	0	0	22.658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	BASN4	299.717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365	0	0	0	0	0	0	0	0	0	0	0	2.316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN4	462.853	0	0	0	1.184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.981	0	0	0	0	0	432.806	0	0	0	0	0.022	0	0	0.467	0	0	0	0	0	3.012	0	2.821	0	0	0.053	0	0	0	0	0	0.047	0	0	0	0.708	0	0	0	0	0	1.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.029	0	0	0	0	0.431	0	0	0	0	0	0	11.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN4	108.859	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.256	0	0	0	0	0	88.161	0	0	0	0	0.022	0	0	0	0	0	0	0	0	0	0	2.063	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.006	0.791	0.008	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	1.397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.286	0	0	0	0	0	0	0	0	0	0	0	2.536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	BASN4	467.424	0	0	0	1.817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.155	0	20.541	0	0	0	5.033	0	0.006	0	0	0	64.031	0	0	0	0	0.328	0	0	0.467	0	0.001	2.551	0	0	21.837	0.067	3.75	0	0	0	0	48.148	0	0	0	0.078	0	0	0	12.585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.397	0	0	0	0	0	0	1.793	94.094	0	0	0	0	0	0	0	0.976	0	8.546	0	0	0	0	0	0	0	0	0	0	0	0	0.147	0	5.012	0	0	0	109.714	2.156	0	0	0	0	1.332	0	9.862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	BASN4	147.852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	BASN4	492.293	0	0	0	0.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.783	0	79.648	0	0	0	1.302	0	3.902	0	0	0	69.43	0	0	0	0	0.044	0	0	0	0	0	0	0	0.032	3.765	0	10.514	0	0	0	0	0.738	0	0	0	0.01	0	0	0	0.865	0	0	0	0	0	115.882	0.963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.777	0	59.253	0	0	0	0	0	0	0	0	0	3.731	0	0	0	0	0	0	0	0	1.844	0	0	0	0	0	3.413	0	2.024	0	3.326	19.839	0	0	0	0	0.134	0	17.967	0	0	0	0	0	0	0	0	0	0	0	0.601	0	0	0	0	0	0	0	0	0	0	0	0	0	2.626	0	0	14.987	0
2008	BASN4	324.503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.8	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
