Year	site	total	ALIN	ALLI1	AMAR1	AMCH	AMFI	APRA	ARAD	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPA	ARPE	ARPU	ARPU1	ARTE	ARTE1	ARWR	ASCR	ASNU	ASSU	ASTE	ASTE1	ASTE2	ASTR1	BAAB	BABI	BAMU	BAPE	BOAR	BOCU	BOER	BOER1	BOSP	BOTO	BRAS1	CABA	CACH	CAJA	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPO	CRPT	CRYP1	DAPU	DECO	DEPI	DEVI	DICA	DIWI	ERAB	ERAN	ERBE	ERCA	ERDI	ERDV	ERIG1	ERLE	ERPU	ERRO	ERTE	ERTR	ESME	EUAL	EUDE	EUGL	EUMI	EUPH1	EUSE	EUSR	EVNU	GAPI	GIFL	GILI1	GSDL1	HAGR	HEAN	HECI	HELI1	HEPE	HODR	HOGL	HYFL	HYOD	HYVE	IVAM	KALL1	KRAM1	LARE	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	LIVE	LONE	LUCO	MAFE	MAPI	MATA	MEAL	MELE	MENT1	MEPU	MILI	MOCE	MUAR	MUPO	NAHI	NYCT1	OEAL	OENO1	OEPR	PAHA	PENA	PEPA	PHAC1	PHCO	PHIN	PLPA	PSTA	RANE	SACY	SAHA	SAKA	SCAR	SCBR	SELE	SELO	SOEL	SPCC	SPHA1	SPIN	SPOR1	SPSU	SPVEG	STAR	STEP1	STEX	STPA	TAAN	TAAU	TALI1	TECO	TILA	TOAN	UKFO1	UKFO2	UKFO3	UKGR1	UKGS1	VEEN	VEWR	VUOC	XASA	XASP	XATE
1989	BASN1	498.3	0	0	0	0.002	0	0	0	0	0	0	58.042	0	0	0	0	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0	0	339.063	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	2.903	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	2.665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	3.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.152	0	0	0	0	0	0	32.295	0	0	0	0	0	0	0	0	0	14.765	0	1.091	0	0	0	0	0	0	0	7.081	22.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	BASN1	461.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.558	0	0	0	28.51	0	0	0	0.059	0	0.144	0	0	0	323.633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	10.378	0	0	0	0	0	0	3.446	0	0	0	0	0	0	0	0	0	0.003	0	0.909	0	0	0	0	0	0	0	1.98	26.614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	BASN1	659.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.322	0	0	0	0	0	0	0	0	0	0	0	0	0	511.035	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	15.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.56	0	0	0	0	0	0	1.799	0	0	0	0	0	0	0	0	0	0.04	0	1.818	0	0	0	0	0	0	0	0.418	21.897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	BASN1	620.277	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.576	0	0	0	3.181	0	0	0	4.577	0	0	0	0	0	421.818	0	0	0	0	0	0	0	0	0	0.006	0	0	0.191	3.012	0	3.584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.239	0	0	0.004	0	0	0	0	0	0	0	0	1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.836	0	0	0	0	0	0	13.661	0	0	0	0	0	0	0	0	0	0.038	0	2.727	0	0	0	0	0	0	0	1.484	27.504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	BASN1	730.183	0	0	0	0	0	0	0	39.548	0	0	82.821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102	0	0.071	0	0	0	495.138	0	0	0	0	0	0	0	0	0	0.129	0	0	1.595	0.753	0	2.162	0	0	0	0	0	0	0	0	0	0	0	0	0.118	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.052	0	0	0	0	0	0	14.4	0	0	0	0	0	0	0	0	0	0.007	0	5.09	0	0	0	0	0	0	6.065	1.38	19.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051
1994	BASN1	511.661	0	0	0	0	0	0	0	0	0	35.348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420.431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.495	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.427	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	BASN1	562.618	0	0	0	0.007	0	0	0	0	0	0.536	0	8.372	0	0	5.023	0	0	0	0	0	2.319	0	7.827	0	0	0.101	0	0	0.277	0	0	0	301.588	0	0	0	0	0	0	0	0	0	0.439	0	0	0.243	48.945	0	0.204	0	0	0.003	0	7.693	0	0	0	0.345	0	0	0	2.56	0	0	0	0	0	0	3.929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0	97.236	0	0	0	0	0	0	0	0.489	0	6.864	0	0	0	0	0	0	0	56.231	0	0	0	0	0	0	9.234	0	0	0	0	0	0	0	0	0	0.003	0	0.055	0	0	0.015	0	0	0	0.2	0.073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127
1996	BASN1	267.333	0	0	0	0	0	0	0	0	0	2.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.003	0	0	0	209.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.759	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	BASN1	358.601	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	6.139	0	0	0	0	0	0	0	0	0	0	0.034	0	0.003	0	0	0	314.575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.577	0	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369	32.361	0	0	0	0	0	0	3.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	BASN1	675.148	0	0	0	0.035	0	0	0	0	0	0	0	13.673	0	0	0	0	0	0	0	0	0	0	0.107	0	0	0	0.037	0	0	0	0	0	633.642	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0.753	0	1.911	0	0	2.039	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0	0.223	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.124	0	0	0	0	0	0	7.404	0	0	0	0	0	0	0	0	0	0	0	1.455	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
