Year	site	total	APRA	ARGL	ARIS1	ARNE	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	BAAB	BOER	CAWR	CHIN	CHST	COCO	CRAN	CRPT	CRYP1	DAPU	DECO	DEPI	DIWI	ERAB	ERDI	ERIO1	ERPU	ERRO	ERTE	ERTR	GILI1	GSDL1	HAGR	HIMU	HODR	HOGL	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	MAFE	MAPI	MELE	MILI	MUAR	MUPO	NAHI	OEAL	OEPR	PAHA	PENA	PHAC1	PHCO	PLMU	PLPA	RANE	SCAR	SCBR	SELO	SIIR	SILE	SOEL	SOOL	SPAI	SPIN	SPOR1	SPSU	SPVEG	STAR	STEX	TOAN	TSDL1	UKFO1	UKFO7	UKFOa	UKGR1	VEWR
2001	EAST1	49.191	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.044	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0.132	0	0.002	0.136	0	0	0	0	0	0	48.81	0	0	0	0	0.024	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0
2002	EAST1	19.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	EAST1	62.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	0.001	0	0	0	0	0	0	0.004	61.687	0	0	0	0	0.035	0	0	0.068	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	EAST1	37.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	EAST1	98.647	0	0	0	0	0	0	0	0.226	0	0	0	0	0	0	0	0	0	0	0.024	0	0	2.349	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0.164	20.433	11.289	0.43	8.148	0	0	0	0	0	0.013	54.249	0	0	0	0	0.121	0	0	0.031	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0.969	0	0	0.082	0	0	0	0	0
2006	EAST1	68.734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST1	132.697	0	0	0	0	0	0	0	1.129	0	0	0	0	0	0	0	0.024	0	0	0.038	0	0	0.124	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	5.573	6.437	0	0.01	0	0	0	0	0	0	0	117.701	0	0	0.012	0	0	0.124	0	1.284	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0.218	0	0	0.008	0	0	0	0	0
2008	EAST1	180.155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180.155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	EAST2	79.608	0	0	0	0	0	0	0	0	0	0	0	9.369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.783	12.707	0	0	0	0	0	0	0	0	0	0	0	0.701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	EAST2	96.686	0	0	0	0	0	0	0	0	0	0.006	0	23.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	51.04	0	0	0	0	0.007	0.004	0	0	0	0	0	0	0	0	0.416	18.379	0	0	0	0	0.023	0	0	0	0	0	0	0.666	0	0	0	0	0	0	0	0	3.086	0	0	0	0	0	0	0	0	0	0
1992	EAST2	194.899	0	0	0	0	0	0	0	0	0	0	0	39.567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.51	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	1.218	17.77	0	0	0	0	0.005	0	0	0	0	0	0	0.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0
