Year	site	total	APRA	ARGL	ARIS1	ARNE	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	BAAB	BOER	CAWR	CHIN	CHST	COCO	CRAN	CRPT	CRYP1	DAPU	DECO	DEPI	DIWI	ERAB	ERDI	ERIO1	ERPU	ERRO	ERTE	ERTR	GILI1	GSDL1	HAGR	HIMU	HODR	HOGL	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	MAFE	MAPI	MELE	MILI	MUAR	MUPO	NAHI	OEAL	OEPR	PAHA	PENA	PHAC1	PHCO	PLMU	PLPA	RANE	SCAR	SCBR	SELO	SIIR	SILE	SOEL	SOOL	SPAI	SPIN	SPOR1	SPSU	SPVEG	STAR	STEX	TOAN	TSDL1	UKFO1	UKFO7	UKFOa	UKGR1	VEWR
1995	TAYL2	3.154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.535	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	1.042	0	0	0	0	0.03	0	0.002	0	0	0	0	0.729	0	0	0	0	0	0.021	0	0	0.726	0	0.016	0	0	0	0	0	0	0	0
1996	TAYL2	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0.154	0	0	0	0	0	0	0	0	0	0	0	0.761	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	TAYL2	2.34	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.382	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.767	0	0	0	0	0.016	0	0	0	0	0
1998	TAYL2	2.626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0
1999	TAYL2	2.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0.011	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.098	0	0	0	0	0	0	0	0	0	0	0	1.755	0	0	0	0	0	0	0.017	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.191	0	0	0	0	0	0	0	0	0	0
2000	TAYL2	0.171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	TAYL2	4.831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.541	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183	0	0	0	0	0	0	0	0	0	0
2002	TAYL2	15.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	TAYL2	44.334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.252	0	0	0	0	0.007	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	4.071	0	0	0	0	0	0	0	0	0	0
2004	TAYL2	25.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	TAYL2	64.848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.069	0	0	0	0	0	0	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	44.245	0	0	0	0	0.097	0.108	0	0	0	0	0	0.347	0	0	0	0	0	0.001	8.896	0	0.954	0	0	0	0	0.09	0	0.146	0	0	1.7
2006	TAYL2	37.583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0	0	0	0	37.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	TAYL2	89.282	0.148	0	0	0	0	0	0	0.013	0.53	0	0	0	0	0	0	4.559	0	0	0	0	0	0.109	0	0.005	0	0	0	0.019	1.421	0	0	0	0	0	0	0	0	0	0.128	0	0	0.01	0	0	0	0	0	0	0	80.285	0	0	0	0	0.008	0	0	0	0	0	0	0.033	0	0	0	0	0	0	0	0	0.568	0	0	0	0	0	0	0	0	0	1.446
2008	TAYL2	203.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	TAYL3	15.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114	0	0	0	0	0	0	0	0	0	0	0	11.758	0	0	0	0	0	0	0	0	0	0	0	2.386	0	0	0	0	0	0	0	0	0.109	0	0	0	0	0	0	0	0	0	0
1991	TAYL3	21.355	0	0	0	0	0.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.417	0	0	0	0	0	0	0	0	0	0	0	17.121	0	0	0	0	0	0	0	0	0	0	0	2.673	0	0	0	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0	0	0
1992	TAYL3	17.009	0	0	0	0	0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246	0	0	0	0	0	0	0	0	0	0	0.406	0	0	0	0	0	0	0	0	0	0	0.032	14.543	0	0	0	0	0	0	0	0	0	0	0	1.077	0	0	0	0	0	0	0	0	0.617	0	0	0	0	0	0	0	0	0	0
1993	TAYL3	14.06	0	0	0	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	11.011	0	0	0	0	0	0	0	0	0	0	0	1.147	0	0	0	0	0	0	0	0	0.176	0	0	0	0	0.909	0	0	0	0	0
1994	TAYL3	31.021	0	0	0	0	0.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	29.142	0	0	0	0	0	0	0	0	0	0	0	1.574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	TAYL3	38.548	0	0	0.424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0.471	0	0	0	0	0	0	0	0	0	0	0.023	36.227	0	0	0	0	0.003	0	0	0	0	0	0	0.873	0	0	0	0	0	0	0	0	0.236	0	0	0	0	0	0	0	0	0	0
1996	TAYL3	57.894	0	0	0.988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.065	55.388	0	0	0	0	0	0	0	0	0	0	0	1.443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	TAYL3	91.722	0	0	0	0.071	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.484	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.072	0	0	0	0	0.008	0	0	0	0	0
1998	TAYL3	110.264	0	0	0.477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318	0	0	0	0	0	0	0	0	0	0	0	109.459	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0
1999	TAYL3	69.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0.004	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.002	68.837	0	0	0	0	0	0	0.169	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.131	0	0	0	0	0	0	0	0	0	0
2000	TAYL3	124.848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	TAYL3	41.512	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	TAYL3	96.58	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.573	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	TAYL3	134.799	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.762	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0
2004	TAYL3	80.835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	TAYL3	126.956	0	0	0	0.529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.633	105.106	0	0	0	0	0	0	0	0	0	0	0	0.704	0	0	0	0	0	0	0	0	14.565	0	0	0	0	0	0	0	0	0	0.207
2006	TAYL3	34.241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	TAYL3	140.381	0.213	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	7.66	0	0	0	0	0	0.703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.12	0	0	0	0	0	0.091	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	27.241	0	0.848	0	0	0	0	0	0	0	5.415
2008	TAYL3	59.161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	TAYL4	46.271	0	0	0	0	3.664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.801	38.432	0	0	0	0	0	0	0	0	0	0	0	2.168	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.006	0	0	0	0.199
1991	TAYL4	53.121	0	0	0	0	9.972	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261	41.415	0	0	0	0	0	0	0	0	0	0	0	1.412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	TAYL4	63.941	0	0	0	0	8.288	0	1.662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288	52.47	0	0	0	0	0	0	0	0	0	0	0	0.756	0	0	0	0	0	0	0	0	0.477	0	0	0	0	0	0	0	0	0	0
1993	TAYL4	50.999	0	0	0	0	14.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0.323	34.626	0	0	0	0	0.022	0	0	0	0	0	0	0.942	0	0	0	0	0	0	0	0	0	0	0	0	0	0.262	0	0	0	0	0
1994	TAYL4	100.094	0	0	0	0	43.734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0.624	54.214	0	0	0	0	0	0	0	0	0	0	0	1.489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	TAYL4	72.712	0	0	0	0	14.754	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.609	0	0	0	0	0	0	0	0	0	0	0.081	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111	55.673	0	0	0	0	0.009	0	0	0	0	0	0	1.436	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0
1996	TAYL4	78.975	0	0	1.055	0	4.518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254	71.138	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	TAYL4	67.598	0	0	0	0	0.484	0	0.052	0.133	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.883	0	0	0	0	0.002	0.01	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015
1998	TAYL4	89.61	0	0	0.247	0	5.203	0	3.687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.351	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.114	0	0	0	0	0
1999	TAYL4	24.237	0	0	1.845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	22.243	0	0	0	0	0	0	0.008	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.068	0	0.023	0	0	0	0	0	0	0	0
2000	TAYL4	42.688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	TAYL4	73.653	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0
2002	TAYL4	92.518	0	0	0.124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	TAYL4	69.075	0	0	1.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.387	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0
2004	TAYL4	39.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	TAYL4	40.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.558	27.77	0	0	0	0	0	0.008	0	0	0	0.203	0	1.104	0	0	0	0	0	0	0	0	0.817	0	0	0	0	0	0	0	0	0	6.89
2006	TAYL4	15.815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	TAYL4	43.474	0.57	0	0	0	0	0	4.778	0.08	0	0	0	0	0	0	0	12.089	0	0	0.032	0	0	0.438	0	0	0	0	0	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.651	0	0	0	0	0	0.05	0	0	0	0	0	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	9.669
2008	TAYL4	4.278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	WEST	9.414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	WEST	1.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	WEST	7.384	0	0	0	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	5.407	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.233	0	0	0	0	0.004	0	0	0	0.033	0	0	0	0	0	0	0	0	0	0.591
1993	WEST	12.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	11.216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	1.295	0	0	0	0	0	0	0	0	0.028	0	0.003	0	0	0.114	0	0	0	0	0
1994	WEST	23.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	WEST	5.35	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0.718	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.083	3.751	0	0	0	0.579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	WEST	4.533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.136	0	0	0	0.397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	WEST	0.048	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0
1998	WEST	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	WEST	0.152	0	0	0	0	0	0	0.002	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006
2000	WEST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	WEST	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0
2002	WEST	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	WEST	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.121
2005	WEST	4.768	0	0	0	0	0	0	0	0.464	0	0	0	0	0	0	0.4	0	0	0	0	0	0	3.567	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0.184	0	0	0	0	0	0	0	0	0.091	0	0	0	0	0.041	0	0	0	0	0
2007	WEST	25.818	9.042	0	0	0	0	0.464	0	0.04	0	0	0	0	0	0	0	5.498	0	0	0.001	0	0	0.206	0	0.001	0.01	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	1.696	0.867	0	0	0	0.977	0	0	0	0	0	0	0	0	0	0	2.281	0	0	0	0	0.35	0.027	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0.016	0	0	0	0	4.111
1990	WEST1	31.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	WEST1	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.496	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0
1992	WEST1	28.556	0.119	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0.074	0	0	0	0	0	0	0	0	0	0	0	26.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0.012	0	0	0	0	0	0	1.19	0	0	0	0	0.001	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0.709
1993	WEST1	22.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755	0	0.01	0	0	0	0	0	0	0	0	0.003	19.332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0	0	0	0	0	0.044	0	0.033	0	0	0	0	1.372	0	0	0	0	0	0	0	0	0.078	0	0	0	0	0.598	0	0	0	0	0
1994	WEST1	59.392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059	0	0	0	0	0	0	0	0	0	0	0	0	1.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
