Year	site	total	ALIN	ALLI1	ALMA	AMCH	APRA	ARGL	ARIS1	ARLO	ARNE	ARPU	ARPU1	ARWR	ASAL	ASCL1	ASNU	ASTE	ASTE1	ASTR1	ASWO	BAAB	BAMU	BAPE	BOER	BOUT1	CABA	CACH	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPO	CRPT	CRYP1	CSDL1	CYGY	DAPU	DEPI	DIWI	DYPE	ENDE	ERAB	ERAN	ERBE	ERCA	ERDI	ERDV	ERIG1	ERIO1	ERPU	ERRO	ERTR	EUAL	EUMI	EUPH1	EUSE	EUSR	HAGR	IPLO	IVAM	LARE	LEER	LELA	LEPI1	LEVI	LIBI	LIVE	LONE	MAFE	MAPI	MELE	MILI	MUPO	NAHI	OEPR	PEAN	PECT1	PENA	PHAC1	PHCO	PHIN	PLPA	POAC1	RANE	SACY	SAKA	SCAR	SCBR	SELE	SELO	SOEL	SPOR1	SPSU	SPVEG	STAR	STEX	STPA	TAAN	TALI1	TECO	TILA	UKFO1	UKFO4	UKFO5	UKGS1	VEEN	VEWR	VUOC
1989	CALI1	15.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	CALI1	31.642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.034	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	CALI1	22.424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.039	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288	0	0	0	0	0	0	0	20.74	0.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	CALI1	68.475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201	0	0	0	0	0	0	0	0	0	0	0	50.497	4.888	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	CALI1	61.827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.766	0.008	0	0	0	0	0	0	0	0	0	0	0.729	0	0	0	0	0	0	0	0	0.541	0	0	0	0	0	0	0	0	0	0	0	54.216	1.319	0.019	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	CALI1	28.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	CALI1	21.625	0	0	0	0	0	0	0.396	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0.004	0	0	0	0	0	0	0	0	0.006	0	0.049	2.259	0	0	0	0	0	0	14.489	0.262	0	0	0	0	0.004	0	0	0	0	0	0	0	2.213	1.541	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	CALI1	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	CALI1	42.656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0.001	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.197	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	CALI1	30.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394	0	0	0	0	0.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.662	0	0	0	0	0.078	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	CALI1	22.693	0	0	0	0	0	0	0	0	0	0.565	0	0	0	0	0	0	0	0	0	0.162	0.025	0	0	0	1.01	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	19.712	0.078	0	0	0	0	0	0	0	0.002	0	0	0	0	0.331	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	CALI1	3.743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	CALI1	67.408	0	0	0	0	0	0	0	0	0	0	0	6.782	0	0	0.331	0	0	0	0	1.712	0.006	0	0	0	0.842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.491	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.398	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.379	0	0	0	0	2.424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	CALI1	5.575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.108	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	CALI1	16.396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	8.909	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.441	0	0	0	0	3.568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	CALI1	14.456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.622	0	0	0	0	8.215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	CALI1	20.739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.522	0	0	0	0	0	0	0.467	0	0	0	0	0	0	0	0	0.067	0	0	0	3.01	0.101	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.876	0	0	0	0	10.626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	CALI1	7.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	CALI1	91.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.603	41.845	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	9.471	0	0	0.452	0	0	0	0	0	0	0	0	0	0	1.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264	0	15.406	0.391	0	0	0	4.598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	CALI1	1.624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	CALI2	17.634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.824	0	0	0	0	0	0	0	0	0	0.648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	CALI2	6.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.443	0	0	0	0	0	0	0	0	0	0.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	CALI2	5.806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.024	0.425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328	0	0	0	0	0	0	0	0	0	0.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	CALI2	48.953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.994	0.009	0	0	0	0	0	0	0	0	0	0	0.104	0	0	0	0	0	0	0	0	0.463	0	0	0	0.147	0	0	0	0	0	0	0	22.167	4.932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.257	0	1.394	0	0	0	0	0	0	0	0.486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
