Year	site	total	APRA	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPA	ARPU	ARTE	ARWR	ASNU	ASTE	ASTE1	ASTR1	ASWO	BAAB	BAMU	BOCU	BOER	CABA	CACH	CAWR	CHCO	CHIN	CHST	COCO	CRAN	CRCR	CRMI	CRPT	CRYP1	DAPU	DAWR	DEPI	DIWI	DRCU	ENDE	ERAB	ERAN	ERDI	ERIA1	ERIO1	ERLE	ERPU	ERRO	ERTE	ERTR	ESME	EUAL	EUMC	EVNU	GAPI	GIFL	GILI1	GILI2	GSDL1	HAGR	HODR	HYFL	IPLO	IVAM	LARE	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	LIVE	LONE	LUCO	MAFE	MAPI	MEAL	MENT1	MEPU	MILI	MUAR	MUPO	NAHI	OEAL	OENA1	OENO1	OEPR	PAIN	PENA	PHAC1	PHCO	PLMU	PLPA	POPA	PSDL1	PSTA	RANE	SAKA	SCAR	SCBR	SELE	SELO	SOOL	SPCC	SPHA1	SPIN	SPOR1	SPSA	SPSU	SPVEG	STEX	STPA	TOAN	UKFO1	UKFO2	UKGR1	UKGS1	VEWR	VUOC	XASA
1998	BASN1	347.58	0	0	0	0	0	0.479	0	0	0	0	0.027	0.013	0	0	0	0	0	0	342.524	0	0	0	0	0	0	0	0	0	0	0	0.005	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0.56	0	0	0.006	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	3.885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0
1999	BASN1	317.265	0	0	0	0	0	0.393	0	0	0	0	0.054	0.171	0	0	0	0	0.02	0	301.918	0	0	0	0	0	0.05	0	0	0	0	0	0.871	0.005	0	0.145	0	0	0	0.022	0	0.003	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0.56	0	0	0.197	0	0	0.065	0	0	0	0	0.163	0	0	0.002	0	0.407	0.04	12.029	0.003	0.012	0	0	0	0	0.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.022	0	0	0	0	0	0	0	0	0
2000	BASN1	261.974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252.904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	BASN1	303.427	0	0	0	0.094	0	0	0	0	0	0	0.027	0.072	0	0	0	0	0.003	0	300.846	0	0	0	0	0	0	0	0	0	0	0	0.348	0	0	0.963	0	0	0	0.075	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0	0	0.046	0	0	0	0	0.814	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	BASN1	189.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	BASN1	335.039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308.965	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.051	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	BASN1	122.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	BASN1	109.712	0	0	0	0	0	0	0	0	0	0	0.345	0.265	0	0.589	0	0	0	0	99.452	0	0	0.467	0	0	0	0	0	0	0	0	1.238	0	0	2.774	0	0	0	0	0	0.136	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0	2.153	0	0	0.018	0	0	0	0	1.302	0	0	0	0	0.475	0	0	0	0	0	0	0.424	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.041	0	0	0	0	0	0	0	0	0
2006	BASN1	105.719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	BASN1	212.455	0	0	0	0	0	0	0	0	0	0	4.254	77.606	0	0	0	0	0.451	0	107.304	0	0	0	0	0	0.04	0	0	0	0	0	0.282	0	0	0.861	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0	0	0	0	0	0	0	0	0	9.923	0	0.001	0.004	0	0	0	0	3.253	0	0	0	0	1.56	0	0	0.043	0	0	0	0	0	0.005	0.025	0	0	6.468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0
2008	BASN1	196.269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	7.702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0
1990	BASN2	457.203	0	0	0	0	0	0	0	0	0	1.332	0	1.77	0	0	0	0	0.009	0	419.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	11.476	0	0	0	0	0	0	0	0	0	0
1991	BASN2	333.713	0	0	0	0	0	0	0	0	0	0.575	0	0	0	0	0	0	0	0	298.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	12.077	0	0	0	0	0	0	0	0	0	0
1992	BASN2	365.422	0	0	0	0	0	0	0	0	0	1.437	0	0	0	0	0	0	0	0	330.307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	7.649	0	0	0	0	0	0	0	0	0	0
1993	BASN2	295.018	0	0	0	0	0	0	0	0.326	0	3.564	0	0.005	0	0	0	0	0	0	282.652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946	0	0	0	0	0	0	1.12	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.362	0	0	0	0	0	0	0	0	0	0
