Year	site	total	APRA	ARGL	ARHA	ARIS1	ARLO	ARNE	ARWR	ASAL	ASNU	ASTE1	ASTR1	BAAB	BAMU	CHCO	CHIN	CRAN	CRCR	CRMI	CRYP1	DAPU	DEPI	DIWI	ERAB	ERAN	ERIO1	ERPU	ERRO	ERTR	EUAL	GSDL1	HYOD	LESQ1	LIBI	LIVE	MAFE	MALI	MEPU	MSDL1	MUPO	NAHI	PECT1	PHAC1	PLPA	PSDL1	PSTA	SAKA	SCAR	SELE	SPOR1	SPSU	SPVEG	STEX	TILA	UKFO1	UKFO5	UKGR1	UKGS1	XANT1	XASA	XASP	XASP1
1995	WELL1	49.558	0	0	0	0	0	0	0	0	0.013	0	0	0	0.006	0	0	0	9.789	0	0	0	18.987	1.201	0.02	0	0.078	0	0.217	0	0	0	0	0	0	0	0	0	0.116	0	13.847	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	5.269
1996	WELL1	3.403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.493
1997	WELL1	3.385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0.079	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	2.984	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302
1998	WELL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	WELL1	3.84	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.105	0	3.51	0.11	0.012	0	0.003	0	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	WELL1	13.933	0	0	0	0	0	0	0	0	0	0	0.008	0	0.001	0	0	0	0	0.031	0.156	0	11.977	1.455	0.009	0	0	0	0.287	0	0	0	0	0	0	0	0	0	0	0.001	0	0.007	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	WELL1	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	WELL1	125.63	0	0	0	0	0	0	0	0	0.133	0	0	0	0	0	0	0	0	0	1.482	0	114.203	6.847	0.001	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0.001	0	0.03	0	2.903	0	0	0.01	0	0.01	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
2007	WELL1	335.035	0.01	0	0	0	0	0	0	0	0.027	0	0	0	0.828	0	0	0	0	0.023	3.642	0	17.073	304.891	0	0	0	0	0.049	0	0	0	0	0	0	0.095	0	0	0	0.003	0	2.815	0	5.259	0	0	0	0	0.3	0	0	0	0	0.014	0	0	0.006	0	0	0	0	0	0
1990	WELL2	1.49	0	0	0	0	0	0	0.664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193	0	0	0	0	0	0	0	0	0	0
1991	WELL2	2.858	0	0	0	0	0	0	0.207	0	0	0	0	0	0.001	0	0	0	0	0	0.001	0	0	1.841	0	0	0	0.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565	0	0	0	0	0	0	0	0	0	0
1992	WELL2	0.705	0	0	0	0	0	0	0.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277	0	0	0.061	0	0	0	0	0	0	0	0	0	0
1993	WELL2	5.584	0	0	0	0	0	0	0.453	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0.87	0.04	0	0	0	1.085	0	0	0	0	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0.034	0	3	0	0	0.023	0	0	0	0	0	0	0	0	0	0
1994	WELL2	18.694	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.667	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	WELL2	34.455	0	0	0	0	0	0	0	0	0.003	0	0	0	0.006	0.042	0	0	6.777	0.24	0.016	0	13.697	13.046	0.013	0	0	0	0.062	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0.504
1996	WELL2	5.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.692
1997	WELL2	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0.018	0.357	0	0	0.008	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.268
1998	WELL2	0.685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.683	0	0	0
1999	WELL2	7.581	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0.036	0.212	0	5.492	1.638	0.023	0	0.035	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0	0	0	0	0.007	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	WELL2	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	WELL2	5.657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.015	0	3.815	0.85	0.016	0	0	0	0.864	0	0	0	0	0	0	0	0	0	0	0.003	0	0.002	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	WELL2	0.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.29	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	WELL2	66.614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079	0.849	0	53.798	11.75	0	0	0	0	0.024	0	0	0.005	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0.015	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	WELL2	143.724	0	0	0	0	0	0	0	0	0	0	0	0	0.207	0	0	0	0	0.012	4.008	0	13.404	119.321	0	0	0	0	0.069	0	0	0	0	0.001	0	0.031	0	0	0	0	0	3.354	0	0.183	3.019	0	0	0	0.1	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0
1990	WELL3	0.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.382	0	0	0	0	0	0	0	0	0	0
1991	WELL3	0.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0
1992	WELL3	0.398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149	0	0	0	0	0	0	0	0	0	0
1993	WELL3	2.02	0	0	0	0	0	0	0.026	0	0	0	0	0	0.011	0	0	0	0	0	0.065	0	0.014	0.032	0	0	0	1.516	0	0	0	0	0	0	0	0	0	0	0	0.135	0	0	0	0	0	0	0	0.077	0	0	0	0	0.144	0	0	0	0	0	0	0	0	0	0
1994	WELL3	0.296	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096	0	0	0	0	0	0	0	0	0	0
1995	WELL3	14.723	0	0	0	0.016	0	0	0	0	0	0	0.003	0	0.007	0	0	0	11.295	0.131	0	0	1.354	1.697	0.004	0	0.043	0	0.098	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.039
1996	WELL3	1.824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0	0	1.803
1997	WELL3	1.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0.011	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.547
1998	WELL3	1.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.145	0	0	0
1999	WELL3	0.89	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.044	0	0.477	0.318	0.01	0	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	WELL3	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	WELL3	3.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.141	0	1.629	1.159	0	0	0	0	0.282	0	0	0	0	0	0	0	0	0	0	0.001	0	0.025	0	0	0	0.003	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	WELL3	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	WELL3	36.954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.436	0	33.171	3.275	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0.002	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	WELL3	170.409	0	0	0	0	0	0	0	0	0	0	0	0	2.174	0	0	0	0	0.043	3.264	0	2.944	159.123	0	0	0	0	0.107	0	0	0	0	0	0	0.177	0	0	0	0.009	0	2.311	0	0.111	0	0	0	0	0.14	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0
1990	WELL4	1.718	0	0	0	0	0	0	0.745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.604	0	0	0	0	0	0	0	0	0	0
1991	WELL4	1.638	0	0	0	0	0	0	0.316	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.024	0	0	0	0	0.562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.734	0	0	0	0	0	0	0	0	0	0
1992	WELL4	0.734	0	0	0	0	0	0	0.204	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0
1993	WELL4	1.835	0	0	0	0	0	0	0.421	0	0	0	0	0	0.025	0	0	0	0	0	0.097	0	0.042	0.099	0	0	0	0.293	0	0	0	0	0	0	0	0	0	0	0	0.097	0	0	0	0	0	0	0	0.073	0	0	0	0	0.688	0	0	0	0	0	0	0	0	0	0
1994	WELL4	0.88	0	0	0	0	0	0	0.477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0
1995	WELL4	77.792	0	0	0	0	0	0	0	0.003	0.013	0	0	0	0.005	0	0	0	72.288	0.201	0	0	2.406	2.828	0	0	0.005	0	0.006	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.031
1996	WELL4	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013
1997	WELL4	0.355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0	0.298	0	0	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	WELL4	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	WELL4	1.594	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.246	0	0.438	0.818	0.001	0	0.004	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	WELL4	5.012	0	0	0	0	0	0	0	0	0	0	0.058	0	0	0	0	0	0	0.102	0.14	0	2.916	1.596	0	0	0	0	0.137	0	0	0	0	0	0	0	0	0	0	0.013	0	0.028	0	0	0	0	0.001	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	WELL4	0.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	WELL4	43.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074	0.701	0	37.132	5.349	0	0	0	0	0.001	0	0	0.028	0	0	0	0	0.163	0	0	0	0	0.018	0	0	0	0	0.005	0.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	WELL4	188.728	0	0	0	0	0	0	0	0	0.066	0	0	0	1.411	0	0	0	0	0.143	0.63	0	6.791	176.738	0	0	0	0	0.024	0	0	0	0	0	0	0.088	0	0	0	0.002	0	1.635	0	0.763	0.431	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0
