Year	site	total	APRA	ARGL	ARHA	ARIS1	ARLO	ARNE	ARWR	ASAL	ASNU	ASTE1	ASTR1	BAAB	BAMU	CHCO	CHIN	CRAN	CRCR	CRMI	CRYP1	DAPU	DEPI	DIWI	ERAB	ERAN	ERIO1	ERPU	ERRO	ERTR	EUAL	GSDL1	HYOD	LESQ1	LIBI	LIVE	MAFE	MALI	MEPU	MSDL1	MUPO	NAHI	PECT1	PHAC1	PLPA	PSDL1	PSTA	SAKA	SCAR	SELE	SPOR1	SPSU	SPVEG	STEX	TILA	UKFO1	UKFO5	UKGR1	UKGS1	XANT1	XASA	XASP	XASP1
1994	NORT3	77.809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	NORT3	28.468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	9.906	0.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.11	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0
1996	NORT3	26.879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	NORT3	37.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0	0	0	0
1998	NORT3	45.945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.812	0	0	0	0	0	0	0.03	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0
1999	NORT3	21.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	NORT3	24.767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	NORT3	95.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	NORT3	21.618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	NORT3	5.943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
