Year	site	total	ALIN	ALLI1	AMCH	APRA	ARGL	ARIS1	ARLO	ARNE	ARPU	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	ASWO	BAAB	BAPE	BOER	CAWR	CHCO	CHIN	COCO	CRAN	CRBA	CRCR	CRMI	CRPO	CRYP1	CRYP2	DAPU	DEPI	DYPE	ERAB	ERBE	ERDI	ERDV	ERPU	ERRO	ERTE	ERTR	EUSE	EUST	EVNU	HAGR	HIMU	HODR	HOFF1	HOGL	HYVE	LEER	LEFE	LEGO	LELA	LESQ1	LEVI	LUCO	MAFE	MAPI	MATA	MELE	MENT1	MUAR	MUPO	NAHI	OENO1	PAHA	PAHI	PENA	PHAC1	PHCO	PHIN	PHPO	PLMU	PLPA	RANE	SAKA	SCBR	SELO	SIPH	SOEL	SPAI	SPAN	SPOR1	SPSU	SPVEG	STAR	STEX	TAAN	TAAU	TALI1	TECO	TSDL1	UKFO1	UKFO5	UKFO6	VEWR	VUOC	XASP
1997	TAYL	82.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.615	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	29.088	0	0	0	0	1.937	0	0	0	0	0	0	0	0	47.313	0	0.492	0	0	0	0	3.132	0	0	0	0	0	0.156	0	0	0	0	0	0	0	0
1998	TAYL	36.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.387	0	0	4.667	0	0.08	0	0	0	0	0	0	0	0	6.771	0	0	0	0	0	0	0.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	TAYL	26.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.692	0	0	0	0	0.58	0	0	0	0	0	0	0	0	9.973	0	0	0	0	0	0	1.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	TAYL	12.215	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	TAYL	22.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	17.493	0	0	0	0	0.111	0	0	0	0	0	0	0	0	4.053	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	TAYL	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	TAYL	45.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	35.385	0	0	0	0	0.584	0	0	0	0	0	0	0	0	9.041	0	0	0	0	0	0	0.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	TAYL	12.354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.813	0	0	0	0	0.569	0	0	0	0	0	0	0	0	7.902	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0
2005	TAYL	52.48	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	11.211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.77	0	0	0	0	0.742	0	0	0.008	0	0	0	0	0	21.888	0	0	0	0	0	0	10.253	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0
2006	TAYL	12.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	TAYL	206.85	0	0	0	0	0	0	0	0	0	0	0	30.326	1.59	0	0	0	0.034	0	0	0	0.237	0	64.558	0	0	0	0	0	0	0	0	0	0	0	0.526	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508	0	0	0	0	0	0	0	0	0	0	0	0	0	1.107	17.333	0	0	0	0	1.245	1.617	0	0	0	0	0	0	0	61.24	0	0	0	0	0	0	26.515	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0
2008	TAYL	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1989	TAYL1	101.607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246	0	0	0	0	0	0	0	1.334	71.647	0	0	0	0	0.377	0	0	0	0	0	0	0	0	27.646	0	0	0	0	0	0	0.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	TAYL1	28.912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293	0	0	0	0	0	0	0	0	0	0	0.574	0	0	0	0	0	0.51	0	0	0	0	0	0	0	0	27.497	0	0	0	0	0	0	0.036	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0
1991	TAYL1	106.523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.923	74.237	0	0	0	0	0.064	0	0	0	0	0	0	0	0	31.268	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	TAYL1	198.891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.268	19.807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.322	127.114	0	0	2.333	0	3.387	0	0	0	0	0	0	0	0	34.312	0	0	0	0	0	0	4.303	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0
1993	TAYL1	62.949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.268	1.928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.616	23.351	0	0	4.667	0	2.041	0	0	0	0	0	0	0	0.117	23.961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	TAYL1	54.951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.657	46.622	0	0	0	0	0	0	0	0	0	0	0	0	0	5.722	0	0	0	0.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	TAYL1	101.993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.467	0	0.02	0	0	0	0	2.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529	81.29	0	0	2.333	0	1.423	0.058	0	0	0	0	0	0	0.05	13.527	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0
1996	TAYL1	73.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167	63	0	0	0	0	0	0	0	0	0	0	0	0	0	9.961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	TAYL1	121.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0	0	0	1.39	61.764	0	0	14	0	1.51	0	0	0	0	0	0	0	0	37.928	0	0	0	5.13	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0
1998	TAYL1	38.827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271	16.677	0	0	18.666	0	0.257	0	0	0	0	0	0	0	0	2.797	0	0	0	0	0	0	0.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	TAYL1	71.903	0	0	0	0	0	0	0	0	0	0	0	0.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0.005	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.298	0	0	0	0	0.845	0	0	0	0	0	0	0	0	13.491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	TAYL1	8.522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	TAYL1	35.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.472	0	0	0	0	0.609	0	0	0	0	0	0	0	0	6.212	0	0	0	0	0	0	0.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	TAYL1	25.713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.598	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	TAYL1	78.809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258	62.123	0	0	0	0	0.786	0	0	0	0	0	0	0	0	13.971	0	0	0	0	0	0	1.657	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0
2004	TAYL1	15.743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	3.282	0	0	0	0	1.465	0	0	0	0	0	0	0	0	10.717	0	0	0	0	0	0	0.1	0	0	0	0	0	0.069	0	0	0	0	0	0	0	0
2005	TAYL1	149.952	0	0	0	0	0	0	0	0	0	0	0	0	0.994	0	0	0	0	0	0	0	0.529	0	0	0	0	0	0	0	0	0	0	24.923	0	0.288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.575	19.525	0	0	0	0	1.381	0	7.423	17.46	0	0	0	0	0	39.852	0	0	0	0.078	0	0	35.914	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0
2007	TAYL1	495.586	0	0	0	0	0	0	0	0	0	0	0	27.522	0.037	0	0	0	0	0	0	0	0	0	164.122	0	0	0	0	0	0	0	4.39	0	0	0	2.511	0	0	0	29.398	0	0	0	0	0	0	0	0	0	0	0	0	27.19	0	0	0	0	0	0	0	0	0	0	6.354	70.929	0	0	0	0.333	3.283	10.742	0	11.613	0	0	0	0	0	60.811	0	0	0	0	0	0	76.264	0	0	0	0.087	0	0	0	0	0	0	0	0	0	0
2008	TAYL1	26.419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	TAYL2	42.981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.998	0	0	0	0	0	0.092	0	0	0	0	0	0	0	0	36.507	0	0	0	2.715	0	0	0.198	0	0	0	0.208	0	0	0	0	0	0	0	0	0	0
1990	TAYL2	62.498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.813	0	0	0	0	0	0.349	0	0	0	0	0	0	0	0	57.938	0	0	0	1.455	0	0	0.592	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	TAYL2	82.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351	1.353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.117	0	0	0	0	0	0.055	0	0	0	0	0	0	0	0	74.686	0	0	0	2.546	0	0	0.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	TAYL2	104.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	24.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.284	2.092	0	0	0	0	2.243	0	0	0	0	0	0	0	0	57.269	0	0	0	1.678	0	0	14.16	0	0.598	0	0.277	0	0	0	0	0	0	0	0	0	0
1993	TAYL2	77.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.573	0	0	0	0	0	0	0.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.964	9.205	0	0	0	0	0.292	0	0	0	0	0	0	0	0.462	58.292	0	0	0	2.788	0	0	3.676	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	TAYL2	13.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	2.391	0	0	0	0	0	0	0	0	0	0	0	0	0	11.316	0	0	0	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	TAYL2	50.952	0	0	0	0	0	0	0	0	0	0	0	0	0.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.333	0	0	0	0	0	0	2.358	0	0	0	0	0	0	0	0	0	0	0	0	0.059	0	0	0	0	0	0	0	0	0	0	0.509	3.188	0	0	0	0	0.225	0	0	0	0	0	0	0	0	40.355	0	0	0	0.926	0	0	1.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	TAYL2	27.973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0.797	0	0	0	0	0	0	0	0	0	0	0	0	0	26.853	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	TAYL2	103.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.631	0	0	0	0	0	0	0	0	0	0	0	0.078	0	0	0	0	0	0	0	0	0	0	0.898	7.093	0	0	2.333	0	1.995	0	0	0	0	0	0	0	0.19	72.656	0	1.517	0	5.892	0	0	6.431	0	0	0	0	0	0.139	0.06	0	0	0	0	0	0	0
1998	TAYL2	36.889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.742	0	0	2.333	0	0.232	0	0	0	0	0	0	0	0	27.744	0	0.016	0	0.655	0	0	1.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	TAYL2	49.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0.23	5.738	0	0	0	0	1.503	0	0	0	0	0	0	0	0	33.867	0	0.172	0	1.261	0	0	2.809	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0
2000	TAYL2	0.479	0	0	0	0	0	0.478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	TAYL2	46.153	0	0	0	0	0	11.475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557	0	0	0	0	0	0	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	13.309	0	0	0	0	0.698	0	0	0	0	0	0	0	0	13.647	0	0	0	0	0	0	6.354	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	TAYL2	31.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117	0	0	0	1.455	0	0	0.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	TAYL2	95.031	0	0	0	0	0	2.869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127	58.517	0	0	0	0	1.47	0	0	0	0	0	0	0	0	27.237	0	0	0	0	0	0	4.811	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	TAYL2	52.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.113	0	0	0	0	0.769	0	0	0	0	0	0	0	0	16.431	0	0	0	0.863	0	0	1.489	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
2005	TAYL2	317.604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0.112	0	0	0	0	0	0	0	0	40.411	0	0	0	0	0	0	0	14.209	0	0	0	0	0	0	0	0	0	0	0	0.469	0	0	0	0	0	0	0	0	0	0	0	113.646	0	0	0	0	3.551	0	0	5.806	0	0	0	0	0	37.871	0	0.016	0	3.006	0	0	70.986	0	0	0	0	0	0.017	0.06	0	0	0	0	27.427	0	0
2006	TAYL2	121.581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	TAYL2	683.32	0	0	0	0	0	0	0	0	0	0	0	2.077	0	0	0	0	0.025	0	0	0	0	0	85.617	0	0	0	0	0	0	0	1.493	0	0	0	0.004	0	0	0	11.61	14.682	0	0	0	0	0	0	0	0	0	0	0	25.431	0	0	0	0	0	0	0	0	0	0	0.722	306.67	0	0	0	0	3.235	0	0	0.166	0	0	0	0	0	92.474	0	0	0	50.625	4.203	0	58.954	0	0	0	0	0	0	0	0	0	0	0	25.332	0	0
2008	TAYL2	167.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.803	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401	0	0	0	0.698	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	TAYL3	35.456	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.651	0	0	0	0	1.805	0	0	0	0	0	0	0	0	23.985	0	0	0	0	0	0	1.942	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	TAYL3	85.261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244	0	0	0.784	0	0	0	0	0	0	0	0	0	0	0.656	31.161	0	0	0	0	0.77	0	0	0	0	0	0	0	0	49.921	0	0	0	0	0	0	1.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	TAYL3	83.949	0	0	0	0	0	0	0	0	0	0.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.527	0.773	0	0	0	0	0	0	0	0	0	0	0	0	0.645	0	0	0	0	0	0	0	0	0	0	0.123	32.555	0	0	0	0	0.406	0	0	0	0	0	0	0	0	47.905	0	0	0	0	0	0	0.696	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	TAYL3	188.158	0	0	0	0	0	0	0	0	0	0.956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.052	0	0	0	0	0	0	0	0	0	5.759	0	0	12.63	0	0	0	0	0	0	0	0	0	0	0.783	67.681	0	0	0	0	3.713	0	0	0	0	0	0	0	0	50.36	0	0	0	0	0	0	33.224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	TAYL3	98.232	0	0	0	0	4.462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.458	1.146	0	0	0	0	0	0	0	0	0	0.223	0	0	0.366	0	0	0	0	0	0	0	0	0	0	0.246	46.583	0	0	0	0	1.159	0	0	0	0	0	0	0	0	41.386	0	0	0	0	0	0	1.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	TAYL3	63.545	0	0	0	0	0	1.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	54.79	0	0	0	0	0	0	0	0	0	0	0	0	0	7.051	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	TAYL3	169.508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.463	0	0	0	0	0	0	0.773	0	0	0	0	0	0	0	0	0	0.019	0	0	0.207	0	0	0	0	0	0	0	0	0	0	0.406	99.36	0	0	0	0	0.77	0	0	0	0	0	0	0	0.002	64.374	0	0	0	0	0	0	1.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	TAYL3	140.426	0	0	0	0	0	4.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	74.914	0	0	0	0	0	0	0	0	0	0	0	0	0	60.929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
