Year	site	total	ALIN	ALLI1	AMCH	APRA	ARGL	ARIS1	ARLO	ARNE	ARPU	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	ASWO	BAAB	BAPE	BOER	CAWR	CHCO	CHIN	COCO	CRAN	CRBA	CRCR	CRMI	CRPO	CRYP1	CRYP2	DAPU	DEPI	DYPE	ERAB	ERBE	ERDI	ERDV	ERPU	ERRO	ERTE	ERTR	EUSE	EUST	EVNU	HAGR	HIMU	HODR	HOFF1	HOGL	HYVE	LEER	LEFE	LEGO	LELA	LESQ1	LEVI	LUCO	MAFE	MAPI	MATA	MELE	MENT1	MUAR	MUPO	NAHI	OENO1	PAHA	PAHI	PENA	PHAC1	PHCO	PHIN	PHPO	PLMU	PLPA	RANE	SAKA	SCBR	SELO	SIPH	SOEL	SPAI	SPAN	SPOR1	SPSU	SPVEG	STAR	STEX	TAAN	TAAU	TALI1	TECO	TSDL1	UKFO1	UKFO5	UKFO6	VEWR	VUOC	XASP
1998	EAST1	33.697	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.284	14.106	0	0	0	0	1.523	0	0	0	0	3.79	0	0	0	6.704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	EAST1	69.25	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.232	0	0	0	0	0	0	0	0	0	0	0	0.786	0	0	0	0	0	0	0	0	0	5.521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76	40.76	0	0	0	0	1.181	0	0	0	0	5.924	0	0	0	5.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	EAST1	188.291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	EAST1	87.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0	0	2.687	0	0	0	0	0	0	0	0	0	0	0	0	0.933	0	0	0	0	0	0	0	0	0.389	42.961	0	0	0	0	2.442	0	0	0	0	35.762	0	0	0	2.197	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	EAST1	29.574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	EAST1	115.67	0	0	0.163	0	0	0	0	0	0	0	0	0	0.159	0	0	0	0	0	0	0	0	0	0	0	0	1.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0	0	0	0	0	0	0	0	0	0	0	0	31.599	0	0	0	0	0	0	0	0	0.133	54.339	0	0	0	0	2.859	0	0	0	0	20.541	0	0	0	2.337	0	0	0	0	0	0	0	0	1.826	0	0	0	0	0	0	0	0	0	0	0	0
2004	EAST1	132.604	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.759	31.026	0	0	0	0	5.376	0	0	0	0	89.984	0	0	0	4.93	0	0	0	0	0	0	0	0	0	0	0	0	0.287	0	0.016	0	0	0	0	0	0
2005	EAST1	704.469	0.569	0	0	0	0	0	0	0	0	0	0	0	2.385	0	0	0	0	0	0	0	0	0	0	0	0	3.012	0	0	0	0	0	13.461	0	0	0	0	0	0	0	0	26.521	0	0	0	0	0	0	0	0	0	0	0	4.565	552.339	0	0	0	0	0	0	0	0	0.062	14.795	0.18	0	0	0	4.236	0	0	0	0	70.001	0	0	0	9.192	0	0	0	0	0	0	0	0	3.151	0	0	0	0	0	0	0	0	0	0	0	0
2006	EAST1	34.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	EAST1	531.233	0	0	0.308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.561	0	0	1.506	0	0	0	0	0	0	0	0	0.161	0	0	0	0	0	46.105	0	0	0	0	0	0	0	0	0	0	0	6.548	55.101	0	0	0	0	0	0	0	0	8.95	156.727	0.178	0	0	0	5.148	0	0	0	0	212.266	0	0	0	33.888	0	0	0	0	0	0	0.386	0	3.232	0	0.168	0	0	0	0	0	0	0	0	0	0
