Year	site	total	AMAR1	AMBL	AMPA	AMPU	APRA	ASCL1	ASNU	ASSU	ASTE1	ASTR1	BAMU	BAPE	CAWR	CHIN	CIOC	COCA	COCO	CRAN	CRCR	CYES	DECO	DEPI	DIWI	ERAB	ERAG1	ERBE	ERDV	ERIG1	EUAL	EUGL	EUMI	EUSE	EUSR	EUST	GAPA	GRSQ	HAGR	HEAN	HECI	HIMU	HODR	HOGL	HYOD	IPLO	IPPU	KAHI	LEFE	LEGO	LEVS	MAFE	NAHI	PAOB	PAOBS	PEPA	PHAC1	PHCO	PHIN	PLMU	PLPA	POOL	PROB1	PSDL1	PSTA	SAKA	SILE	SOEL	SONU	SOOL	SPAI	SPSA	SPSU	TAAN	TALI1	TECO	TILA	UKFO1	UKFO2	UKFO4	UKFO5	VEBR	VEEN	VERB1	VEWR	VUOC
1993	SMAL1	358.31	0	0	0	0	0	0	0	27.944	0	0	0	0	0	0	3.719	0	0	0	0	0	0	4.386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.139	0.02	0	0	0	0	0	0	0	0	315.278	0	0	0	0	0	0	0	0	0	0	0	0	2.747	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	SMAL1	6.867	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0	0	0	0	0	0	0	0	0	6.632	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	SMAL1	519.255	0	0	0	0	0.064	0	0	0.831	0	0	0	0	0	0	5.578	0	3.115	0	0	0	0	220.168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.585	135.449	0	0	0	0	0	0	0	0	151.39	0	0	0	0	0	0	0	0	0	0.176	0	0	0.899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	SMAL1	1.235	0	0	0	0	0	0	0	0.791	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	SMAL1	2533.794	0	0	0	0	0	0	0	7.933	0	0	0	0	0	0	0	0	0.601	0	0	0	0	2.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.931	25.384	0	0	0	0	0	0	0	0	2484.185	0.009	0	0	0	0	0	0	0	0	0	0	0.095	12.548	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	SMAL1	37.138	0	0	0	0	0	0	0	0.956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156	0	0	0	0	0	0	0	0	0	35.639	0	0	0	0	0	0	0	0	0	0	0	0	0.387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SMAL1	18.084	0	0	0	0	0	0	0	0.315	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	16.925	0	0	0	0	0	0	0	0	0	0	0	0	0.136	0.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SMAL1	127.123	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0.036	0	0	0	0	0	0	0	0	0	124.093	0	0	0	0	0	0	0	0	0	0	0	0	2.602	0.309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SMAL1	115.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.3	0	0	0	0	0	0	0	0	0	0	0	0	1.418	0.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	SMAL1	340.412	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152	0	0	0	0	0	0	0	0	0	338.272	0	0	0	0	0	0	0	0	0	0	0	0	1.925	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	SMAL1	339.373	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	2.342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0.32	0	0	0	0	0	0	0	0	331.017	0	0	0	0	0	0	0	0	0	0	0	0	5.642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	SMAL1	1012.143	1.138	3.474	0	0.53	0.021	0	0	0.002	0	0	0	0	0	0.001	0	0	0	0	0	0	0.17	0.032	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0	0	0	0	0	0	0.298	0.81	0	0	0	0	0	0	0	0	921.37	2.735	0	0	0	0	0	0	0.388	0	0	0	0	62.221	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	18.19	0	0	0
2005	SMAL1	667.656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.601	0	149.368	0	0	0	0	0	0	0	0	455.184	0	0	0	0	0	0	0	0	0	0	0	0	21.671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.719	0	0	0
2006	SMAL1	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SMAL1	141.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0.922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.385	93.192	0	0	0	0	0	0	0	0	1.806	0	0	0	0	0	0	0	0	0.021	0	0	0	35.526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.246	0	0	0
2008	SMAL1	1.813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.317	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	SMAL2	306.429	0	0	0	0	0	0	0	17.191	0	0	0	0	0	0	17.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	220.498	0	0	0	0	0	0	0	0	0	0	0	0	51.247	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	SMAL2	569.341	0	0	0	0	0	0	0	15.612	0	0	0	0	0	0	21.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129	0.284	0	0	0	0	0	0	0	0	525.874	0	0	0	0	0	0	0	0	0	0	0	0	4.854	1.514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	SMAL2	49.149	0	0	0	0	0	0	0	1.692	0	0	0	0	0	0	3.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	43.98	0	0	0	0	0	0	0	0	0	0	0	0	0.145	0.065	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0
1992	SMAL2	946.994	0	0	0	0	0	0	0	5.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927	174.079	0	0	0	0	0	0	0	0	756.732	0	0	0	0	0	0	0	0	0	0	0	0	4.829	4.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SMAL2	399.469	0	0	0	0	0	0	0	34.05	0	0	0	0	0	0	0	0.099	0	0	0	0	0	8.868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	1.311	0	0	0	0	0	0	0	0	351.381	0	0	0	0	0	0	0	0	0	0	0	0	3.405	0.212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	SMAL2	19.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	SMAL2	382.046	0	0	0	0	0	0	0	1.778	0	0	0	0	0	0.011	0	0	0.067	0	0	0	0	112.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127	110.841	0	0	0	0	0	0	0	0	151.736	0	0	0	0	0	0	0	0	0	0	0	0	2.173	0	0	0.684	0	0	0	0	0	0	0	2.04	0	0	0	0	0	0	0	0
1996	SMAL2	0.778	0	0	0	0	0	0	0	0.094	0	0	0	0	0	0	0	0	0	0	0	0	0.509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0.124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	SMAL2	2547.873	0	0	0	0	0	0	0	6.495	0	0	0	0	0	0.023	0	0	1.314	0	0	0	2.274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.358	1.091	4.674	0	0	0	0	0	0	0	0	2515.941	0	0	0	0	0	0	0	0	0	0	0	0	9.849	4.854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	SMAL2	108.759	0	0	0	0	0	0	0	0.515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.039	0	0	0	0	0	0	0	0	0	106.891	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SMAL2	36.29	0	0	0	0	0	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.355	0	0	0	0	0	0	0	0	0	35.138	0	0	0	0	0	0	0	0	0	0	0	0	0.279	0.456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SMAL2	110.862	0	0	0	0	0	0	0	0.627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.046	0.54	0	0	0	0	0	0	0	0	106.791	0	0	0	0	0	0	0	0	0	0	0	0	0.675	1.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SMAL2	153.784	0	0	0	0	0	0	0	0.612	0	0	0	0	0	0	0	0	0.128	0	0	0	2.266	29.827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102	0	0.2	0	0	0	0	0	0	0	0	116.523	0	0	0	0	0	0	0	0	0	0	0	0	0.442	3.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	SMAL2	314.191	0	0	0	0	0	0	0	0.167	0	0	0	0	0	0	0	0	0	0	0	0	0.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0.117	1.951	0	0	0	0	0	0	0	0	310.36	0	0	0	0	0	0	0	0	0	0	0	0	0.916	0.456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	SMAL2	581.084	0	0	0	0	0	0	0	0.915	0	0	0	0	0	0	0	0	0	0	0	0	0.553	4.578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263	0	0	0	0	0	0	0	0	0	0	571.433	0	0	0	0	0	0	0	0	0	0	0	0	2.767	0.575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	SMAL2	1549.879	0.01	2.185	0.235	0.094	0	0	0	0.578	0	0	0	0	0	0	0	0	0	0	0.753	0	0.458	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	1500.119	0	0	0	0	0	0	0	1.729	0	0	0	0	39.069	0.394	0	0	0	0	0	0	0	0	0.456	0.093	0	0	0	0	3.516	0	0.006	0
2005	SMAL2	499.718	0	0	0	0	0	0	0	3.552	0	0	0	0	0	0.114	0	0	0.289	0	0	0	0	49.477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846	13.956	0	0	0	0	0	0	0	0	420.175	0	0	0	0	0	0	0	0	0	0	0	0	11.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0	0	0
2006	SMAL2	6.756	0	0	0	0	0	0	0	0.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.879	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SMAL2	55.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.459	1.701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.446	1.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383	0	0	0
2008	SMAL2	2.559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.649	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	SMAL3	301.922	0	0	0	0	0	0	0	42.214	0	0	0	0	0	0	0.413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.935	0	0	0	0	0	0	0	0	0	257.255	0	0	0	0	0	0	0	0	0	0	0	0	0.079	0.035	0	0	0	0.991	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	SMAL3	650.737	0	0	0	0	0.148	0	0	0.439	0	0	0	0	0	0	20.909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0.697	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	SMAL3	45.153	0	0	0	0	0	0	0	0.489	0	0	0	0	0	0	3.719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	40.777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	SMAL3	435.959	0	0	0	0	0	0	0	1.953	0	0	0	0	0	0.212	0	0	0	0	0	0	0	6.646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.201	0	0	0	0	0	0	0	0	420.068	0	0	0	0	0	0	0	0	0	0	0	0	0	1.989	0	0	0	3.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SMAL3	274.795	0	0	0	0	0	0	0	9.635	0	0	0	0	0	0	0	0.74	0	0	0	0	0	1.994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.206	0	0	0	0	0	0	0	0	236.381	0	0	0	0	0	0	0	0	0	0	0	0	0	2.317	0	0.466	0	11.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	SMAL3	10.512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	SMAL3	332.099	0	0	0	0	0	0	0	1.049	0	0	0	0	0	0.039	0.537	0	0.721	0	0	0	0	136.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	29.594	0	0	0	0	0	0	0.163	0	135.553	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239	23.191	4.726	0	0	0	0	0	0	0	0.105	0	0	0	0	0	0	0	0
1996	SMAL3	5.518	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	1.096	3.459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	SMAL3	2962.351	0	0	0	0	0	0	0	9.881	0	0	0	0	0	0	0	0	0.448	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.006	0	0	0	0	0	0	0	0	0	2757.953	0	0	0	0	0	0	0	0	0	0	0	0	1.38	0.274	189.259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	SMAL3	94.468	0	0	0	0	0	0	0	0.476	0	0	0	0	0	0	0	0	0	0	0	0	0	0.922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.606	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.058	27.366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SMAL3	57.69	0	0	0	0	0	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.614	0	0	0	0	0	0	0	0	0	0	0	0	0	0.718	16.274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SMAL3	249.606	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0.063	0	0	0	0	0	0	0	0	0	248.086	0	0	0	0	0	0	0	0	0	0	0	0	0.301	0.896	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SMAL3	190.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	1.09	22.419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089	0	0	0	0	0	0	0	0	0	0	110.439	0	0	0	0	0	0	0	0	0	0	0	0	0.053	2.633	53.426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	SMAL3	450.853	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0.032	0	0	0	0.021	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	447.875	0	0	0	0	0	0	0	0	0	0	0	0	0.099	0.317	2.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	SMAL3	692.974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.685	7.222	1.155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	658.307	0	0	0	0	0	0	0	0	0	0	0	0	0.402	0.669	23.919	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0
2004	SMAL3	1520.653	1.434	8.533	0.011	3.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151	0	0	0	0	0	0	0	0	0	0.614	0	0	0	0	0	0	0	0	1412.765	5.223	0	0	0	0	0	0	0.273	0	0.007	0	0	3.509	3.726	67.085	0	0	0	0	0	0	0	0.096	0	0.175	0	0	0	13.572	0	0	0
2005	SMAL3	705.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	602.585	0	0	0	0	0	0	0	0	0	0	0	0	1.411	0	91.913	0	0	0	0	0	0	0	0	0	0	0	0	0	2.076	0	0	0
2006	SMAL3	10.946	0	0	0	0	0	0	0	0.796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.561	0	0	0	0	0	0	0	0	0	1.325	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	8.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	SMAL3	312.547	0	0	0	0	0	0	0	2.823	0	0	0	0	0	0	0	0	0.801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.656	11.005	0	0	0	0	0	0	0	0	0.945	0	0	0	0	0	0	0	0	0	0.021	0	0	7.549	1.523	275.283	0	0	0	0	0	0	0	0	0	0	0	0	0	8.941	0	0	0
2008	SMAL3	1.795	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.402	0	0	0	0	0	0	0	0	0	0.582	0	0	0	0	0	0	0	0	0	0.007	0	0	0.185	0.222	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	SMAL4	289.522	0	0	0	0	0	0	0	30.932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255.588	0	0	0	0	0	0	0	0	0	0	0	0	1.741	0.019	0	0	0	1.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	SMAL4	783.356	0	0	0	0	0	0	0	38.828	0	0	0	0	0	0	0.397	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.642	0	0	0	0	0	0	0	0	0	732.829	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0	0	10.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	SMAL4	76.722	0	0	0	0	0	0	0	1.568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071	0	0	0	0	0	0	0	0	0	74.565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.518	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	SMAL4	485.284	0	0	0	0	0	0	0	6.531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.496	0	0	0	0	0	0	0	0	0	468.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174	0	0	0	6.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	SMAL4	277.442	0	0	0	0	0	0	0	25.409	0	0	0	0	0	0	0	0	0	0	0	0	0	4.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.056	0.65	0	0	0	0	0	0	0	0	234.773	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	11.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	SMAL4	12.596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	SMAL4	215.372	0	0	0	0	0	0	0	2.804	0	0	0	0	0	0.025	0	0	0.848	0	0	0	0	19.429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.391	26.97	0	0	0	0	0	0	0.163	0	145.026	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	19.711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	SMAL4	1.409	0	0	0	0	0	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.425	0.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	SMAL4	2799.939	0	0	0	0	0	0	0	3.859	0	0	0	0	0	0	0	0	3.646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.177	0.95	0	0	0	0	0	0	0	0	2710.365	0	0	0	0	0	0	0	0	0	0	0	0.618	1.069	1.208	67.974	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073	0	0	0
1998	SMAL4	81.479	0	0	0	0	0	0	0	1.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	SMAL4	44.819	0	0	0	0	0	0	0	0.276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152	0	0	0	0	0	0	0	0	0	36.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	7.415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	SMAL4	408.164	0	0	0	0	0	0	0	1.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.452	0	0	0	0	0	0	0	0	0	404.648	0	0	0	0	0	0	0	0	0	0	0	0	0.079	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	SMAL4	213.262	0	0	0	0	0	0	0	0.548	0	0	0	0	0	0.034	0	0	0	0	0	0	0	16.966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0.053	0	0	0	0	0	0	0	0	0	184.621	0	0	0	0	0	0	0	0	0	0.003	0	0	0.137	4.947	5.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
