Year	site	total	AMAR1	AMBL	AMPA	AMPU	APRA	ASCL1	ASNU	ASSU	ASTE1	ASTR1	BAMU	BAPE	CAWR	CHIN	CIOC	COCA	COCO	CRAN	CRCR	CYES	DECO	DEPI	DIWI	ERAB	ERAG1	ERBE	ERDV	ERIG1	EUAL	EUGL	EUMI	EUSE	EUSR	EUST	GAPA	GRSQ	HAGR	HEAN	HECI	HIMU	HODR	HOGL	HYOD	IPLO	IPPU	KAHI	LEFE	LEGO	LEVS	MAFE	NAHI	PAOB	PAOBS	PEPA	PHAC1	PHCO	PHIN	PLMU	PLPA	POOL	PROB1	PSDL1	PSTA	SAKA	SILE	SOEL	SONU	SOOL	SPAI	SPSA	SPSU	TAAN	TALI1	TECO	TILA	UKFO1	UKFO2	UKFO4	UKFO5	VEBR	VEEN	VERB1	VEWR	VUOC
1994	COLL1	1.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0.156	0	0	0.837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL1	82.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0.539	0	0	0	0.024	0	0	0	29.979	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083	0	0	2.17	0	0	0.288	29.283	0	0	0	0	0.102	0	0	0	4.056	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0.248	15.882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	COLL1	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0.277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.232	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	COLL1	2117.223	0	0	0	0	0	0	0	0.098	0	0	0	0	0	0	0	0	153.163	0	0	0	0	0	0	0	0	2.718	0	0	0	0	0	0	0	0	0	12.48	0	0	104.72	0	0	93.889	77.936	0	0	0	0	0	0	0	0	1486.507	0	0	0	0	0	0	0	0	0	0.035	0	0	68.185	1.12	116.372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	COLL1	525.955	0	0	0	0	0	0	0	0.659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.886	0	0	45.439	4.012	0	0	0	0	0	0	0	0	319.415	0	0	0	0	0	0	0	0	0	0	0	0	11.499	0	83.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL1	112.666	0	0	0	0	0	0	0	0.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52	0	0	32.954	0	0	13.133	0	0	0	0	0	0	0	0	0	29.798	0	0	0	0	0	0	0	0	0	0	0	0	5.118	0.17	30.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	COLL1	190.381	0	0	0	0	0	0	0	2.974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.458	0	0	7.271	0	0	0	0	0	0	0	0	0	73.397	0	0	0	0	0	0	0	0	0	0	0	0	6.558	0.761	96.962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	COLL1	155.067	0	0	0	0	0	0	0	2.579	0	0	0	0	0	0	0	0	0	0	0	0	0	83.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.221	0	0	4.354	0	0	0	0	0	0	0	0	0	27.223	0	0	0	0	0	0	0	0	0	0	0	0	2.146	2.202	14.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	COLL1	1.889	0	0	0	0	0	0	0	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089	0.043	0.951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL1	592.326	0	0	0	0	0	0	0	13.528	0	0	0	0	0	0.296	0	0	0.802	0	0	0	0	5.036	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	64.369	0	0	20.613	223.912	0	0	0	0	0	0	0	0	110.989	0	0	0	0	0	0	0	0	0	0	0	0	60.731	3.638	86.612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	COLL1	656.098	0.008	0	0.583	0	0	0	0	3.38	0	0	0	0	0	15.744	0	0	0	0	0	0	0	0.425	0	0	0.68	0	0	0	0	0.373	0.226	0.058	0	0	0	0.01	0	0	191.596	0	0	40.605	7.893	0	0	0	0	0	0.05	0	0	158.109	0	0	0	0	0	0	0	7.421	0	0.007	0	0	193.805	0.822	34.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL1	901.235	0	0	0	0	0	0	0	1.544	0	0	0	0	0	0	0	0	54.735	0	0	0	0	81.104	0	0	0	0	0.146	0	0	0	0	0	0	0	0	9	0	0	7.719	0	0	13.491	64.379	0	0	0	0	0	0	0	0	506.837	0	0	0	0	0	0	0	0	0	0	0	0	96.69	0	62.938	0	0	0	0	0	0	0	0	0	0	0	1.865	0	0.787	0	0	0
2006	COLL1	32.912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16	0	0	23.679	0	0	0.909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.889	0	5.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL1	2980.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380.649	0	0	0	0	0	0	0	0	22.803	0	0	0	0	0	0	0	0	111.187	212.657	0	0	314.725	0	0	26.491	1236.882	0	0	0	0	0	0	0	0	523.308	0	0	0	0	0	0	0	0	0	0	0	0	105.103	0	46.508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	COLL1	6.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.595	0	0	1.306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087	0	0.582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	COLL2	93.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.352	0	0	1.528	0	0	0	0	0	0	0	0	0	15.818	0	0	0	0	0	0	0	0	0	0	0	0.034	6.635	0	0	0	0	10.838	0	0	0	0	0	0	0	0	0	0	0	0	0	0
