Year	site	Total	AmericanCrow	AmericanGoldfinch	AmericanRobin	AmericanTreeSparrow	BaltimoreOriole	BarnSwallow	BellsVireo	BewicksWren	BlackandwhiteWarbler	BlackcappedChickadee	BluegrayGnatcatcher	BlueGrosbeak	BlueJay	BrownCreeper	BrownheadedCowbird	BrownThrasher	CarolinaWren	CommonGrackle	CommonNighthawk	CommonYellowthroat	DarkeyedJunco	Dickcissel	DownyWoodpecker	EasternBluebird	EasternKingbird	EasternMeadowlark	EasternPhoebe	EasternTowhee	EasternWoodPewee	EuropeanStarling	FieldSparrow	GoldencrownedKinglet	GrasshopperSparrow	GrayCatbird	GreatCrestedFlycatcher	GreaterPrairiechicken	HairyWoodpecker	HenslowsSparrow	HouseWren	IndigoBunting	KentuckyWarbler	LarkSparrow	LeContesSparrow	LincolnsSparrow	LouisianaWaterthrush	MourningDove	NorthernBobwhite	NorthernCardinal	NorthernFlicker	NorthernParula	NorthernRoughwingedSwallow	OrangecrownedWarbler	OrchardOriole	RedbelliedWoodpecker	RedeyedVireo	RedheadedWoodpecker	RedwingedBlackbird	RingneckedPheasant	RosebreastedGrosbeak	RubycrownedKinglet	SavannahSparrow	SedgeWren	SongSparrow	SummerTanager	TreeSwallow	TuftedTitmouse	VesperSparrow	WarblingVireo	WhitebreastedNuthatch	WildTurkey	YellowbilledCuckoo	YellowrumpedWarbler	YellowWarbler
1991	konza	1106	6	12	5	7	13	0	14	8	0	9	6	8	24	0	118	41	0	6	4	16	0	310	8	5	27	44	0	13	7	0	27	2	8	3	22	0	1	1	2	6	0	3	0	0	0	32	44	23	16	0	0	0	10	16	2	76	22	4	0	0	0	0	3	2	7	11	0	0	16	0	36	0	0
1992	konza	1017	7	11	3	5	11	0	14	4	0	16	0	8	17	0	132	30	1	0	3	14	0	290	4	2	26	81	0	5	4	0	25	0	29	4	23	0	2	9	7	8	1	1	0	0	2	24	44	19	8	0	0	0	10	24	2	8	11	2	2	0	0	0	0	2	5	10	0	0	17	0	30	0	0
1993	konza	1212	13	11	4	45	6	0	16	3	1	11	8	0	28	0	119	37	3	0	1	19	0	210	5	15	29	77	0	8	17	0	33	2	42	6	25	0	2	9	4	10	4	0	0	0	4	37	83	18	17	0	0	0	4	14	0	76	19	5	0	0	0	0	1	9	45	25	0	0	12	0	20	0	0
1994	konza	1002	3	13	33	12	3	0	17	0	0	10	14	6	9	0	135	35	2	0	1	14	12	298	4	3	17	56	0	2	7	0	31	0	20	6	7	0	2	2	3	2	4	0	0	0	1	32	34	14	6	0	0	0	4	16	0	26	14	4	0	0	0	1	0	0	12	11	0	0	20	4	18	0	2
1995	konza	727	6	14	1	0	0	0	18	4	0	6	8	12	9	0	125	26	5	0	3	16	8	126	3	6	14	67	0	4	12	0	17	0	10	4	20	0	2	15	5	6	2	0	0	0	3	28	23	13	1	0	0	0	0	26	3	0	12	3	0	0	0	0	0	3	0	11	0	0	11	0	16	0	0
1996	konza	852	8	10	3	0	4	0	22	1	2	5	4	6	13	0	104	32	4	0	2	17	0	270	2	5	17	65	0	11	9	0	32	0	17	9	19	0	2	3	3	0	2	1	0	0	2	15	29	15	1	0	0	0	2	26	5	2	16	2	0	0	0	0	0	2	0	4	0	0	13	0	14	0	0
1997	konza	892	28	10	2	0	3	0	16	1	0	16	6	8	16	0	132	19	15	0	3	17	24	174	3	11	9	70	0	5	12	0	33	0	37	10	17	0	1	15	2	6	2	0	0	0	2	26	33	14	2	0	0	0	0	20	5	0	19	0	0	0	0	0	0	1	0	18	0	0	15	2	10	0	2
1998	konza	867	15	7	0	0	3	4	22	4	1	22	16	0	20	1	78	11	4	0	3	17	2	222	5	4	2	65	0	7	14	0	37	0	35	4	14	3	2	5	5	14	0	2	0	0	3	17	25	17	6	0	1	0	0	12	2	42	15	5	0	0	0	0	0	5	0	23	0	0	10	4	10	0	0
1999	konza	1036	35	9	4	45	0	4	32	6	0	21	12	0	16	2	68	23	10	0	8	19	46	176	7	9	0	82	0	7	17	0	38	0	43	5	6	0	7	16	9	16	2	3	0	0	3	12	19	15	7	1	0	0	0	30	5	0	11	5	0	0	0	0	3	5	45	14	0	0	21	19	18	0	0
2000	konza	877	17	6	0	0	1	3	31	4	1	9	12	0	13	0	114	16	3	0	7	17	0	214	2	4	3	70	0	12	17	0	44	0	38	16	12	2	2	3	9	28	1	4	0	0	1	12	27	12	0	2	0	0	0	20	4	0	7	6	0	0	0	0	0	1	0	13	0	0	13	5	18	0	1
2001	konza	730	8	11	8	2	3	0	26	4	0	9	4	0	17	1	66	15	2	6	1	8	4	182	8	7	3	21	0	19	15	0	19	0	33	19	8	0	2	6	3	28	5	2	0	0	2	7	9	1	4	2	0	0	0	20	6	42	13	0	0	0	0	0	0	3	0	13	0	0	11	8	14	0	0
2002	konza	764	6	7	1	0	1	0	34	0	0	10	4	0	17	0	99	19	0	2	0	14	0	242	6	1	1	39	0	7	19	0	22	0	45	10	10	0	1	0	6	24	1	1	0	0	2	11	10	7	2	2	0	0	0	16	7	0	8	0	0	0	0	0	0	5	0	9	0	0	7	3	26	0	0
2004	konza	1189	0	26	0	0	8	8	45	0	0	1	56	0	7	0	190	31	0	0	1	21	0	366	3	3	9	62	1	18	20	0	47	0	49	18	11	0	0	6	11	36	0	2	0	0	1	16	21	12	7	5	0	0	0	10	9	0	18	0	0	0	0	0	0	4	0	10	0	1	3	0	16	0	0
2005	konza	1104	4	29	1	0	9	11	42	3	0	17	36	4	12	0	165	28	0	0	2	6	0	280	7	6	1	53	0	13	20	6	43	0	71	22	8	0	1	0	8	32	1	12	0	0	1	36	10	6	1	1	0	0	2	10	7	0	32	0	0	0	0	0	0	4	0	8	0	0	4	1	28	0	0
2006	konza	1235	11	29	95	29	2	2	38	0	0	23	14	2	9	0	139	20	13	2	11	17	20	402	5	19	3	27	0	8	14	0	22	3	54	18	12	0	0	1	2	26	0	5	0	0	0	19	7	6	0	5	1	0	4	14	8	0	16	0	0	0	0	0	0	6	0	8	0	0	9	4	30	0	1
2007	konza	1596	4	29	308	102	1	6	46	0	0	25	30	4	6	0	182	27	8	4	5	14	30	276	10	17	3	34	1	11	17	0	33	0	54	11	10	0	1	5	2	66	2	3	0	0	0	16	12	10	8	0	0	0	8	8	9	22	32	1	0	0	0	0	1	5	0	14	0	0	11	36	16	0	0
2008	konza	1185	1	43	1	35	6	6	65	2	0	34	46	8	10	0	163	28	13	0	2	23	8	204	12	24	0	53	1	15	10	3	34	0	74	23	12	0	0	8	4	54	0	5	0	0	0	26	18	10	4	0	1	0	0	8	3	0	24	0	0	0	0	0	0	6	0	12	0	0	15	12	16	0	0
2009	konza	286	0	0	23	56	0	0	0	0	0	12	0	0	0	1	0	0	5	0	0	0	116	0	5	9	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	2	0	0	8	29	0	0	0
