yr	plot	total	DM	DO	DS	PB	PE	PF	PM	PP	RM
1991	11	4986.471919	3658.381991	877.7929229	0	0	123.3757975	0	0	144.9393382	181.981869
1992	11	3960.62054	2912.280998	90.50180893	0	0	332.8406652	0	0	348.4315376	276.5655299
1993	11	3551.12926	3183.274266	95.54624154	0	0	0	0	0	210.8741997	61.4345534
1994	11	3578.205232	3546.208011	0	0	0	0	0	0	0	31.9972214
1995	11	5529.98225	5030.673517	106.989158	0	0	0	88.48145494	0	262.6560384	41.18208144
1996	11	4823.534252	2242.910594	1662.69576	0	0	0	163.9658366	246.1438038	292.3864345	215.4318228
1997	11	7065.283308	3278.456629	2545.705	0	210.8544886	0	100.5273903	273.4399111	514.1918554	142.1080339
1998	11	4739.627365	3270.802442	937.8966872	0	127.3972598	0	0	0	403.5309759	0
1999	11	4287.411332	2561.437781	1216.182525	0	0	0	0	0	509.791026	0
2000	11	4272.244132	2004.000252	108.5900163	0	1184.709245	0	0	0	974.9446189	0
2001	11	5536.633224	3294.376013	202.4648616	0	1409.377079	49.72406726	0	0	580.6912028	0
2002	11	7441.544569	1974.302542	3534.539329	0	677.8727444	125.1963417	0	0	1129.633611	0
2003	11	10459.57783	2086.863343	4744.836207	0	1159.694407	411.4169104	0	0	2056.766963	0
2004	11	5225.939921	2636.019272	745.407254	0	296.671603	0	0	0	1547.841792	0
2005	11	6812.952367	3293.363147	0	0	1344.670574	0	0	0	2174.918646	0
2006	11	9214.666644	4791.087302	0	0	1320.860344	115.5106424	0	36.68581747	2950.522538	0
2007	11	15280.59412	5590.60697	455.0495898	0	5234.818983	223.2033756	187.8756134	348.4576008	3211.015879	29.56610729
2008	11	10067.6117	6813.816972	1410.996571	557.8749989	83.62557982	0	83.6192267	0	1026.548914	61.56332869
2009	11	4404.50412	3721.556842	103.7631612	0	59.75966351	0	0	0	519.4244526	0
2010	11	2273.21627	1663.51367	0	0	0	0	0	0	609.7026	0
1989	12	4062.762983	1111.576339	1554.88033	0	0	574.3368659	0	0	86.73826011	397.6220556
1990	12	3640.878271	1227.998388	2035.768031	0	0	59.75966351	0	0	0	317.3521886
1991	12	3363.220855	2543.296713	536.6129522	0	0	0	0	0	51.78183865	231.5293516
1992	12	3116.142375	2249.976659	226.6927244	0	0	69.25972932	0	0	376.4671913	193.7460708
1993	12	2908.95274	2738.327113	0	0	0	38.95558949	0	0	97.30183865	34.36819947
1994	12	3387.657294	3178.530534	209.1267606	0	0	0	0	0	0	0
1995	12	4389.037424	3661.965279	102.1376026	0	0	0	70.6933891	0	524.6750466	29.56610729
1996	12	8428.503872	6903.901137	394.435709	0	74.75384518	0	314.0773227	151.1742643	441.3702478	148.7913465
1997	12	11394.08014	8251.135885	1087.274604	0	59.75966351	61.69794481	147.7618972	151.1742643	1433.975495	201.3003845
1998	12	9526.766746	7767.856659	906.1370321	0	203.9826027	0	31.9972214	51.78183865	565.011392	0
1999	12	6611.559509	4422.181992	915.3943313	0	518.5267161	0	0	47.63749952	673.4507709	34.36819947
2000	12	6357.407603	2018.996424	1815.25757	0	1124.853356	0	0	0	1398.300253	0
2001	12	5253.1493	1706.405459	2241.370061	0	0	167.431206	0	0	1137.942574	0
2002	12	8154.349757	2008.816559	3510.545718	0	630.1571868	461.6655839	0	0	1543.16471	0
2003	12	11472.19139	3307.640967	4074.078888	0	1350.095768	515.1220609	0	0	2154.505515	70.74818873
2004	12	4231.189219	1111.808317	2260.505486	0	0	53.81269755	0	0	805.0627185	0
2005	12	4992.01727	1254.782436	1444.413709	0	165.4782042	0	0	0	2095.3457	31.9972214
2006	12	5484.763952	824.5380347	933.4459155	0	908.1880015	67.3961502	0	0	2751.19585	0
2007	12	16584.5166	2986.245238	5300.136706	0	3042.16481	55.81831696	0	463.6034976	4574.364578	130.1862315
2008	12	10357.15029	4254.911627	3909.798081	0	759.3220832	0	21.81351758	314.1678373	1001.387749	68.68303888
2009	12	4779.599094	3165.417339	1185.619584	0	0	0	0	0	398.9960634	29.56610729
2010	12	1978.729065	1664.915198	0	0	0	0	0	0	313.8138667	0
1989	14	4960.473669	3963.461396	523.5185945	0	0	206.4167911	0	109.5820301	0	157.4948568
1990	14	6184.557173	4969.708804	1128.6498	0	0	0	0	0	0	86.19856851
1991	14	5455.770999	4734.612208	571.4145651	0	0	53.81269755	0	0	0	95.93152816
1992	14	6109.892852	4604.098558	93.87484527	1220.194983	0	0	54.13270787	0	105.5945362	31.9972214
1993	14	4624.757367	3807.768035	0	638.0862163	0	0	31.9972214	0	146.9058949	0
1994	14	3437.630948	3437.630948	0	0	0	0	0	0	0	0
1995	14	6777.266382	6452.620376	0	0	0	0	235.9663492	0	88.67965675	0
1996	14	7509.031867	6880.066908	0	0	0	0	255.5224938	38.95558949	334.4868762	0
1997	14	11032.326	9948.961619	0	0	63.61613396	49.72406726	78.61972001	437.6220669	353.1021279	100.6802603
1998	14	5426.737154	5219.516835	0	0	0	34.36819947	0	51.78183865	121.0702809	0
1999	14	2536.353928	2287.817121	0	0	0	0	0	0	248.5368066	0
2000	14	4421.471587	3419.66228	0	0	61.69794481	0	0	0	940.1113624	0
2001	14	6892.752254	5796.530175	325.5238002	0	112.2888209	0	24.48701213	74.75384518	559.1685999	0
2002	14	7523.594434	6907.541767	0	0	0	0	24.48701213	0	591.5656553	0
2003	14	8704.413856	7362.805574	0	0	51.78183865	51.78183865	132.7524279	0	1070.923978	34.36819947
2004	14	6505.762505	4494.080114	1319.321809	0	65.51523111	0	0	0	626.8453513	0
2005	14	7410.607485	2975.946953	1430.124232	0	1298.843539	0	0	0	1705.692762	0
2006	14	10078.1389	4005.38149	1646.725247	0	1379.650138	0	0	0	3046.382023	0
2007	14	13874.54408	6581.990671	1598.861677	0	2766.257086	59.75966351	19.02566168	53.81269755	2623.102343	139.7370558
2008	14	13890.05756	9693.483128	2294.411427	553.1846091	258.0226135	0	68.11404729	82.8846709	782.8527013	157.1043578
2009	14	7092.477052	5591.889392	612.5100234	431.7767423	47.63749952	0	0	0	408.6633951	0
2010	14	3120.23186	2746.254356	0	0	0	0	0	0	373.9775048	0
1989	17	3849.675629	554.0342664	2152.224181	0	0	551.8313183	0	0	0	591.585863
1990	17	4217.901271	1344.339796	2598.550356	0	0	117.5162618	0	0	0	157.4948568
1991	17	4006.720902	1415.090156	2092.342109	0	0	47.63749952	51.55336607	0	188.4015668	211.6962039
1992	17	5499.263293	4362.974421	640.9748027	0	0	0	110.6169414	0	316.0140896	68.68303888
1993	17	4003.768994	3413.033241	0	0	0	59.75966351	240.8586667	0	260.5513158	29.56610729
1994	17	4110.351569	4012.497673	0	0	0	0	97.85389578	0	0	0
1995	17	5770.131289	4836.282432	0	0	0	0	634.436389	0	191.72048	107.6919884
1996	17	6566.250452	5657.434106	0	0	0	0	418.118032	129.0193928	300.1155922	61.56332869
1997	17	10421.04899	8199.244945	602.4978585	0	149.4492927	0	182.1215935	532.7684135	610.9776297	143.9892543
1998	17	8501.111173	6872.317501	561.8971999	0	132.5540366	38.95558949	24.48701213	87.36629875	783.5335356	0
1999	17	5289.125956	4108.309476	831.181799	0	0	0	0	0	349.6346808	0
2000	17	6817.591589	4722.63638	911.051032	0	234.7780622	0	0	0	949.1261145	0
2001	17	7917.704219	6048.728439	0	0	1230.606483	0	45.52	0	565.7829433	27.06635394
2002	17	9514.120635	5343.890657	106.989158	0	3327.716701	0	0	0	735.5241198	0
2003	17	12130.88155	6125.195286	0	0	5043.136991	0	0	0	962.5492744	0
2004	17	6748.423686	4438.740579	0	0	1534.767761	0	0	0	774.9153465	0
2005	17	7832.009009	3433.905172	0	0	2433.025	0	0	0	1965.078837	0
2006	17	6608.504503	2702.667539	116.4805162	0	555.5659347	0	0	0	3206.724159	27.06635394
2007	17	14534.11629	2400.65974	2853.162353	0	4395.792227	256.0129781	48.97402426	53.81269755	4154.330874	228.6090098
2008	17	12016.77597	4020.068163	5511.254666	0	1125.05563	51.78183865	95.18040123	55.81831696	940.929749	63.99444281
2009	17	5027.510431	1265.524599	2790.893086	0	139.4352743	0	0	0	728.8727089	0
2010	17	1930.160375	1088.388062	110.183046	0	0	0	27.06635394	0	704.5229127	0
1989	22	6157.210526	2269.226517	0	3283.823631	0	328.5696797	0	0	0	127.9287496
1990	22	3734.367026	1830.575795	0	1380.477633	0	0	0	0	0	0
1991	22	2831.391314	647.9507781	0	1971.368051	0	55.81831696	29.56610729	0	102.2010486	24.48701213
1992	22	2990.47055	739.6812997	0	2111.06294	0	65.51523111	24.48701213	0	49.72406726	0
1993	22	3062.475622	222.8443528	0	2726.514575	0	0	83.55058747	0	0	29.56610729
1994	22	2543.414489	913.5712847	0	1508.523452	0	0	0	0	121.3197524	0
1995	22	2318.586155	2016.998871	0	0	0	0	140.3312764	0	161.2560079	0
1996	22	4471.727211	3710.515121	0	0	271.2393068	0	302.2245809	0	187.7482017	0
1997	22	8047.264877	5802.609163	0	0	1607.00785	0	154.6600982	164.1999368	255.0356573	63.75217141
1998	22	5795.869907	3751.495711	0	0	2044.374196	0	0	0	0	0
1999	22	4858.493004	2734.823096	0	0	2091.672686	0	0	0	31.9972214	0
2000	22	5419.23963	1024.572653	0	0	4158.375029	0	0	0	236.2919477	0
2001	22	4609.596231	983.0187102	0	0	3285.541454	0	24.48701213	0	316.5490549	0
2002	22	6496.854546	1185.920214	0	0	5209.596016	0	0	0	101.338317	0
2003	22	8298.679919	2121.897282	111.7684347	0	5094.517551	0	0	0	970.4966519	0
2004	22	6487.942975	1178.797499	0	0	4813.351191	0	0	0	495.7942852	0
2005	22	6320.50094	113.3463622	0	0	5431.022852	0	0	0	746.5656185	29.56610729
2006	22	6336.98651	987.8986432	0	0	4550.383802	0	0	0	769.1379573	0
2007	22	10374.91525	1214.591425	197.720476	0	6819.738929	219.2382841	34.36819947	115.5106424	1665.881473	83.37880484
2008	22	8772.69087	1693.319501	617.6166927	1661.766002	4594.039068	0	100.5273903	0	0	105.4222164
2009	22	6141.037147	1901.49936	189.3620469	1331.476874	2718.698866	0	0	0	0	0
2010	22	1413.355196	0	0	396.8442727	752.5281443	0	0	0	263.9827795	0
