yr	plot	total	DM	DO	DS	PB	PE	PF	PM	PP	RM
2000	4	88	26	0	0	41	0	0	0	21	0
2001	4	78	29	7	0	19	0	11	0	12	0
2002	4	106	17	25	0	31	1	8	0	24	0
2003	4	131	1	57	1	33	0	5	0	34	0
2004	4	74	4	28	0	2	0	0	0	40	0
2005	4	106	0	49	0	3	0	4	0	50	0
2006	4	124	5	23	0	16	0	7	0	72	0
2007	4	160	1	46	0	37	0	3	0	68	4
2008	4	146	4	69	3	10	0	4	1	49	6
2009	4	96	2	52	4	5	0	0	0	30	0
2010	4	35	11	0	0	0	0	0	0	24	0
1989	8	88	67	5	8	0	0	0	0	2	6
1990	8	86	73	12	0	0	0	0	0	0	1
1991	8	85	77	3	0	0	1	0	0	2	2
1992	8	46	29	14	0	0	0	1	0	0	0
1993	8	33	21	11	0	0	0	1	0	0	0
1994	8	36	21	13	0	0	0	0	0	2	0
1995	8	71	21	15	0	0	0	1	0	34	0
1996	8	90	12	47	0	0	2	8	0	21	0
1997	8	110	26	50	0	1	0	6	5	20	2
1998	8	82	24	31	0	9	0	0	0	18	0
1999	8	56	10	23	0	10	0	0	0	13	0
2000	8	82	3	29	0	27	0	0	0	23	0
2001	8	92	3	21	0	28	0	0	1	38	0
2002	8	124	9	49	0	29	0	0	0	37	0
2003	8	112	16	21	0	40	0	10	0	25	0
2004	8	61	6	15	0	20	0	0	0	20	0
2005	8	123	0	48	0	9	0	1	0	65	0
2006	8	97	3	34	0	12	0	0	0	48	0
2007	8	166	3	40	0	54	0	2	1	55	2
2008	8	165	12	71	12	30	0	6	4	24	2
2009	8	64	2	32	3	4	0	4	0	17	0
2010	8	25	7	4	0	0	0	0	0	14	0
1989	9	72	46	13	0	0	4	0	0	0	9
1990	9	83	69	13	0	0	0	0	0	1	0
1991	9	74	64	1	0	0	1	0	0	0	7
1992	9	52	49	0	0	0	0	0	0	0	2
1993	9	35	35	0	0	0	0	0	0	0	0
1994	9	22	19	1	0	0	0	0	0	0	0
1995	9	72	53	12	0	0	4	2	0	0	0
1996	9	74	52	9	0	0	1	8	0	3	0
1997	9	88	50	17	0	0	0	5	11	3	2
1998	9	58	39	12	0	0	1	2	1	3	0
1999	9	64	49	5	0	1	0	0	0	8	0
2000	9	82	42	2	0	13	0	0	0	24	1
2001	9	68	54	1	0	0	0	0	0	13	0
2002	9	95	49	1	0	7	2	1	0	35	0
2003	9	121	43	1	0	38	4	3	0	31	0
2004	9	70	44	6	0	8	0	0	0	12	0
2005	9	73	33	11	0	6	0	0	0	22	1
2006	9	87	42	0	0	6	0	0	0	39	0
2007	9	148	26	3	0	60	0	4	2	47	5
2008	9	120	34	30	0	21	0	4	0	24	4
2009	9	46	8	22	0	2	0	1	0	13	0
2010	9	20	15	0	0	0	0	0	0	5	0
1989	11	58	32	5	0	0	6	0	0	1	14
1990	11	89	60	27	0	0	1	0	0	0	1
1991	11	60	39	10	0	0	2	0	0	3	6
1992	11	52	30	1	0	0	5	0	0	8	8
1993	11	41	34	1	0	0	0	0	0	4	2
1994	11	40	39	0	0	0	0	0	0	0	1
1995	11	65	55	1	0	0	0	3	0	5	1
1996	11	67	23	20	0	0	0	6	5	7	6
1997	11	84	33	24	0	3	0	4	5	11	4
1998	11	69	44	13	0	2	0	0	0	9	0
1999	11	51	26	13	0	0	0	0	0	11	0
2000	11	63	20	2	0	19	0	0	0	21	0
2001	11	69	33	2	0	21	1	0	0	12	0
2002	11	91	21	34	0	9	2	0	0	24	0
2003	11	141	21	50	0	18	7	0	0	45	0
2004	11	69	26	7	0	4	0	0	0	32	0
2005	11	99	34	0	0	19	0	0	0	46	0
2006	11	129	48	0	0	17	2	0	1	61	0
2007	11	216	61	5	0	63	6	8	6	66	1
2008	11	115	72	12	3	1	0	3	0	21	2
2009	11	52	39	1	0	1	0	0	0	11	0
2010	11	31	18	0	0	0	0	0	0	13	0
1989	12	58	11	14	0	0	10	0	0	2	13
1990	12	46	14	21	0	0	1	0	0	0	10
1991	12	42	28	5	0	0	0	0	0	1	8
1992	12	44	26	2	0	0	1	0	0	9	6
1993	12	39	31	0	0	0	1	0	0	5	1
1994	12	38	36	2	0	0	0	0	0	0	0
1995	12	57	40	1	0	0	0	3	0	12	1
1996	12	105	72	4	0	1	0	12	3	9	4
1997	12	140	85	11	0	1	1	5	3	28	6
1998	12	114	88	8	0	3	0	1	1	13	0
1999	12	78	46	9	0	7	0	0	1	14	1
2000	12	85	22	17	0	16	0	0	0	29	0
2001	12	62	17	20	0	0	3	0	0	22	0
2002	12	101	20	34	0	8	8	0	0	31	0
2003	12	146	35	39	0	17	9	0	0	44	2
2004	12	54	12	22	0	0	1	0	0	19	0
2005	12	73	13	13	0	2	0	0	0	44	1
2006	12	84	9	9	0	11	1	0	0	54	0
2007	12	228	30	49	0	39	1	0	8	95	5
2008	12	127	48	38	0	10	0	1	5	22	2
2009	12	56	33	12	0	0	0	0	0	10	1
2010	12	24	17	0	0	0	0	0	0	7	0
1989	14	59	42	6	0	0	4	0	2	0	5
1990	14	71	57	11	0	0	0	0	0	0	3
1991	14	63	53	5	0	0	1	0	0	0	4
1992	14	66	52	1	6	0	0	2	0	2	1
1993	14	50	41	0	3	0	0	2	0	3	0
1994	14	35	35	0	0	0	0	0	0	0	0
1995	14	79	68	0	0	0	0	9	0	2	0
1996	14	87	70	0	0	0	0	9	1	7	0
1997	14	125	102	0	0	1	1	3	8	7	3
1998	14	67	62	0	0	0	1	0	1	3	0
1999	14	30	24	0	0	0	0	0	0	6	0
2000	14	61	38	0	0	1	0	0	0	21	0
2001	14	79	60	3	0	2	0	1	1	12	0
2002	14	86	71	0	0	0	0	1	0	14	0
2003	14	110	76	0	0	1	1	5	0	24	1
2004	14	73	45	13	0	1	0	0	0	14	0
2005	14	100	30	15	0	16	0	0	0	39	0
2006	14	145	46	15	0	18	0	0	0	66	0
2007	14	185	69	16	0	37	1	1	1	55	4
2008	14	161	104	22	3	3	0	3	2	19	5
2009	14	79	61	6	2	1	0	0	0	9	0
2010	14	36	28	0	0	0	0	0	0	8	0
1989	17	57	6	21	0	0	11	0	0	0	19
1990	17	47	15	25	0	0	2	0	0	0	5
1991	17	53	16	22	0	0	1	2	0	4	7
1992	17	70	46	8	0	0	0	4	0	8	2
1993	17	50	34	0	0	0	1	9	0	5	1
1994	17	47	42	0	0	0	0	5	0	0	0
1995	17	76	48	0	0	0	0	21	0	4	3
1996	17	84	59	0	0	0	0	15	2	6	2
1997	17	123	84	6	0	2	0	6	9	12	4
1998	17	108	79	7	0	2	1	1	2	16	0
1999	17	59	44	8	0	0	0	0	0	7	0
2000	17	82	49	9	0	3	0	0	0	20	0
2001	17	94	65	0	0	15	0	1	0	12	1
2002	17	116	53	1	0	45	0	0	0	17	0
2003	17	152	62	0	0	67	0	0	0	22	0
2004	17	83	45	0	0	22	0	0	0	16	0
2005	17	111	37	0	0	32	0	0	0	42	0
2006	17	103	28	1	0	7	0	0	0	66	1
2007	17	225	26	29	0	62	4	2	1	89	7
2008	17	148	43	55	0	17	1	4	1	20	2
2009	17	68	14	28	0	3	0	0	0	18	0
2010	17	30	12	1	0	0	0	1	0	16	0
1989	22	53	22	0	19	0	6	0	0	0	4
1990	22	34	20	0	7	0	0	0	0	0	0
1991	22	23	7	0	11	0	1	1	0	2	1
1992	22	24	9	0	12	0	1	1	0	1	0
1993	22	23	3	0	15	0	0	3	0	0	2
1994	22	22	10	0	9	0	0	0	0	3	0
1995	22	30	22	0	0	0	0	5	0	3	0
1996	22	57	39	0	0	3	0	11	0	4	0
1997	22	97	59	0	0	21	0	6	3	5	3
1998	22	71	40	0	0	31	0	0	0	0	0
1999	22	56	28	0	0	27	0	0	0	1	0
2000	22	71	10	0	0	56	0	0	0	5	0
2001	22	63	11	0	0	45	0	1	0	6	0
2002	22	87	12	0	0	73	0	0	0	2	0
2003	22	118	22	1	0	73	0	0	0	22	0
2004	22	86	11	0	0	66	0	0	0	9	0
2005	22	88	1	0	0	70	0	0	0	16	1
2006	22	84	10	0	0	56	0	0	0	17	0
2007	22	167	14	2	0	101	4	2	2	39	2
2008	22	100	19	6	8	60	0	4	0	0	3
2009	22	66	20	2	7	37	0	0	0	0	0
2010	22	18	1	0	2	9	0	0	0	6	0
