yr	plot	total	AO	DM	DO	DS	PB	PF	PP
2006	9	6252.729021	0.0000	4098.626046	0	0	462.8532822	0	1691.249693
2007	9	9915.54939	331.2197	2427.328546	394.5980948	0	4304.180141	92.60105942	2365.621864
1989	11	4382.158755	772.2876	3070.873579	493.4775815	0	0	0	45.52
1990	11	8364.935904	87.8155	5656.917591	2620.202774	0	0	0	0
1991	11	4986.471919	305.3577	3658.381991	877.7929229	0	0	0	144.9393382
1992	11	3960.62054	609.4062	2912.280998	90.50180893	0	0	0	348.4315376
1993	11	3551.12926	61.4346	3183.274266	95.54624154	0	0	0	210.8741997
1994	11	3578.205232	31.9972	3546.208011	0	0	0	0	0
1995	11	5529.98225	41.1821	5030.673517	106.989158	0	0	88.48145494	262.6560384
1996	11	4823.534252	461.5756	2242.910594	1662.69576	0	0	163.9658366	292.3864345
1997	11	6408.660773	288.7974	3067.902319	2226.387365	0	210.8544886	100.5273903	514.1918554
1998	11	4739.627365	0.0000	3270.802442	937.8966872	0	127.3972598	0	403.5309759
1999	11	4287.411332	0.0000	2561.437781	1216.182525	0	0	0	509.791026
2000	11	4272.244132	0.0000	2004.000252	108.5900163	0	1184.709245	0	974.9446189
2001	11	5536.633224	49.7241	3294.376013	202.4648616	0	1409.377079	0	580.6912028
2002	11	7441.544569	125.1963	1974.302542	3534.539329	0	677.8727444	0	1129.633611
2003	11	10459.57783	411.4169	2086.863343	4744.836207	0	1159.694407	0	2056.766963
2004	11	5225.939921	0.0000	2636.019272	745.407254	0	296.671603	0	1547.841792
2005	11	6812.952367	179.9291	3293.363147	0	0	1344.670574	0	1994.989516
2006	11	9214.666644	152.1965	4791.087302	0	0	1320.860344	0	2950.522538
2007	11	15280.59412	601.2271	5590.60697	455.0495898	0	5234.818983	187.8756134	3211.015879
1989	12	4062.762983	1309.5681	1111.576339	1554.88033	0	0	0	86.73826011
1990	12	3640.878271	377.1119	1227.998388	2035.768031	0	0	0	0
1991	12	3429.586276	297.8948	2543.296713	536.6129522	0	0	0	51.78183865
1992	12	3116.142375	263.0058	2249.976659	226.6927244	0	0	0	376.4671913
1993	12	2908.95274	73.3238	2738.327113	0	0	0	0	97.30183865
1994	12	3387.657294	0.0000	3178.530534	209.1267606	0	0	0	0
1995	12	4389.037424	29.5661	3661.965279	102.1376026	0	0	70.6933891	524.6750466
1996	12	8428.503872	299.9656	6903.901137	394.435709	0	74.75384518	314.0773227	441.3702478
1997	12	11344.35607	364.4485	8251.135885	1087.274604	0	59.75966351	147.7618972	1433.975495
1998	12	9526.766746	51.7818	7767.856659	906.1370321	0	203.9826027	31.9972214	565.011392
1999	12	6611.559509	82.0057	4422.181992	915.3943313	0	518.5267161	0	673.4507709
2000	12	6357.407603	0.0000	2018.996424	1815.25757	0	1124.853356	0	1398.300253
2001	12	5253.1493	167.4312	1706.405459	2241.370061	0	0	0	1137.942574
2002	12	8154.349757	621.0207	2008.816559	3510.545718	0	630.1571868	0	1383.809628
2003	12	11472.19139	852.6782	3307.640967	4074.078888	0	1350.095768	0	1887.697562
2004	12	3969.858644	31.9972	1111.808317	2052.987609	0	0	0	773.0654971
2005	12	4992.01727	189.3214	1254.782436	1444.413709	0	165.4782042	0	1938.021477
2006	12	5532.401451	129.0941	824.5380347	933.4459155	0	908.1880015	0	2737.135405
2007	12	16584.5166	681.6053	3107.375115	5179.006829	0	3042.16481	0	4574.364578
1989	14	4879.359472	473.4937	3882.347199	523.5185945	0	0	0	0
1990	14	6184.557173	86.1986	4969.708804	1128.6498	0	0	0	0
1991	14	5455.770999	149.7442	4734.612208	571.4145651	0	0	0	0
1992	14	6109.892852	31.9972	4604.098558	93.87484527	1220.194983	0	54.13270787	105.5945362
1993	14	4624.757367	0.0000	3807.768035	0	638.0862163	0	31.9972214	146.9058949
1994	14	3437.630948	0.0000	3437.630948	0	0	0	0	0
1995	14	6777.266382	0.0000	6452.620376	0	0	0	235.9663492	88.67965675
1996	14	7657.043654	38.9556	6972.260377	0	0	0	255.5224938	390.3051931
1997	14	11032.326	588.0264	9948.961619	0	0	63.61613396	78.61972001	353.1021279
1998	14	5426.737154	86.1500	5219.516835	0	0	0	0	121.0702809
1999	14	2536.353928	0.0000	2287.817121	0	0	0	0	248.5368066
2000	14	4421.471587	0.0000	3419.66228	0	0	61.69794481	0	940.1113624
2001	14	6892.752254	74.7538	5796.530175	325.5238002	0	112.2888209	24.48701213	559.1685999
2002	14	7523.594434	0.0000	6907.541767	0	0	0	24.48701213	591.5656553
2003	14	8704.413856	86.1500	7362.805574	0	0	51.78183865	132.7524279	1070.923978
2004	14	6505.762505	0.0000	4494.080114	1319.321809	0	65.51523111	0	626.8453513
2005	14	6543.523994	45.5200	2766.803517	1318.355797	0	1055.51308	0	1357.331599
2006	14	10078.1389	0.0000	4005.38149	1646.725247	0	1379.650138	0	3046.382023
2007	14	13874.54408	285.3066	6581.990671	1598.861677	0	2766.257086	19.02566168	2623.102343
1989	17	3849.675629	1143.4172	554.0342664	2152.224181	0	0	0	0
1990	17	4217.901271	275.0111	1344.339796	2598.550356	0	0	0	0
1991	17	4006.720902	259.3337	1415.090156	2092.342109	0	0	51.55336607	188.4015668
1992	17	5499.263293	68.6830	4362.974421	640.9748027	0	0	110.6169414	316.0140896
1993	17	4003.768994	89.3258	3413.033241	0	0	0	240.8586667	260.5513158
1994	17	4110.351569	0.0000	4012.497673	0	0	0	97.85389578	0
1995	17	5770.131289	107.6920	4836.282432	0	0	0	634.436389	191.72048
1996	17	6566.250452	190.5827	5657.434106	0	0	0	418.118032	300.1155922
1997	17	10421.04899	676.7577	8199.244945	602.4978585	0	149.4492927	182.1215935	610.9776297
1998	17	8501.111173	126.3219	6872.317501	561.8971999	0	132.5540366	24.48701213	783.5335356
1999	17	5289.125956	0.0000	4108.309476	831.181799	0	0	0	349.6346808
2000	17	6817.591589	0.0000	4722.63638	911.051032	0	234.7780622	0	949.1261145
2001	17	7917.704219	27.0664	5944.965277	103.7631612	0	1230.606483	45.52	565.7829433
2002	17	9514.120635	0.0000	5343.890657	106.989158	0	3327.716701	0	735.5241198
2003	17	12130.88155	0.0000	6125.195286	0	0	5043.136991	0	962.5492744
2004	17	6748.423686	0.0000	4438.740579	0	0	1534.767761	0	774.9153465
2005	17	7832.009009	153.0443	3433.905172	0	0	2433.025	0	1812.034578
2006	17	6608.504503	27.0664	2702.667539	116.4805162	0	555.5659347	0	3206.724159
2007	17	14534.11629	681.1971	2318.78248	2935.039613	0	4395.792227	48.97402426	4154.330874
1989	22	6157.210526	604.1604	2269.226517	0	3283.823631	0	0	0
1990	22	3734.367026	523.3136	1830.575795	0	1380.477633	0	0	0
1991	22	2831.391314	80.3053	647.9507781	0	1971.368051	0	29.56610729	102.2010486
1992	22	2990.47055	65.5152	739.6812997	0	2111.06294	0	24.48701213	49.72406726
1993	22	2514.11866	29.5661	222.8443528	0	2178.157613	0	83.55058747	0
1994	22	2543.414489	0.0000	913.5712847	0	1508.523452	0	0	121.3197524
1995	22	2318.586155	0.0000	2016.998871	0	0	0	140.3312764	161.2560079
1996	22	4471.727211	0.0000	3710.515121	0	0	271.2393068	302.2245809	187.7482017
1997	22	8047.264877	227.9521	5802.609163	0	0	1607.00785	154.6600982	255.0356573
1998	22	5795.869907	0.0000	3751.495711	0	0	2044.374196	0	0
1999	22	4858.493004	0.0000	2734.823096	0	0	2091.672686	0	31.9972214
2000	22	5419.23963	0.0000	1024.572653	0	0	4158.375029	0	236.2919477
2001	22	4609.596231	0.0000	983.0187102	0	0	3285.541454	24.48701213	316.5490549
2002	22	6496.854546	0.0000	1185.920214	0	0	5209.596016	0	101.338317
2003	22	8298.679919	0.0000	2121.897282	111.7684347	0	5094.517551	0	970.4966519
2004	22	6487.942975	0.0000	1178.797499	0	0	4813.351191	0	495.7942852
2005	22	6320.50094	126.8679	113.3463622	0	0	5431.022852	0	649.2637799
2006	22	5875.769224	0.0000	892.3524017	0	0	4214.278865	0	769.1379573
2007	22	10374.91525	442.6147	1214.591425	197.720476	0	6819.738929	34.36819947	1665.881473
